gene,transcripts,chromosome,position,strand,annotation source
ATF7IP2,ENST00000396560.2,chr16,10479911,+,GENCODE
ATG10,"ENST00000282185.3,ENST00000458350.3",chr5,81267856,+,GENCODE
ATG12,ENST00000509910.1,chr5,115177554,-,GENCODE
ATG13,ENST00000451945.1,chr11,46638825,+,GENCODE
ATG13,"ENST00000524625.1,ENST00000529655.1",chr11,46639108,+,GENCODE
ATG14,ENST00000247178.5,chr14,55878575,-,GENCODE
ATG16L1,ENST00000392017.4,chr2,234160216,+,GENCODE
ATG16L2,ENST00000321297.5,chr11,72525352,+,GENCODE
ATG2A,"ENST00000377264.3,ENST00000421419.2",chr11,64684720,-,GENCODE
ATG2B,ENST00000359933.4,chr14,96830206,-,GENCODE
ATG3,ENST00000283290.5,chr3,112280809,-,GENCODE
ATG4A,ENST00000372232.3,chrX,107334897,+,GENCODE
ATG4B,ENST00000404914.3,chr2,242577026,+,GENCODE
ATG4C,"ENST00000317868.4,ENST00000371120.3",chr1,63249805,+,GENCODE
ATG4D,ENST00000309469.4,chr19,10654593,+,GENCODE
ATG5,ENST00000343245.3,chr6,106773291,-,GENCODE
ATG5,ENST00000369076.3,chr6,106773665,-,GENCODE
ATG7,ENST00000354449.3,chr3,11314101,+,GENCODE
ATG9A,"ENST00000361242.4,ENST00000396761.2",chr2,220094414,-,GENCODE
ATG9A,ENST00000409618.1,chr2,220094089,-,GENCODE
ATG9B,ENST00000377974.2,chr7,150721585,-,GENCODE
ATHL1,ENST00000409479.1,chr11,289558,+,GENCODE
ATHL1,ENST00000409548.2,chr11,289137,+,GENCODE
ATIC,ENST00000236959.9,chr2,216176539,+,GENCODE
ATL1,ENST00000354525.4,chr14,51026742,+,GENCODE
ATL1,ENST00000441560.2,chr14,50999743,+,GENCODE
ATL2,ENST00000378954.4,chr2,38604403,-,GENCODE
ATL3,ENST00000398868.3,chr11,63439083,-,GENCODE
ATM,ENST00000278616.4,chr11,108093558,+,GENCODE
ATM,ENST00000452508.2,chr11,108093842,+,GENCODE
ATMIN,ENST00000299575.4,chr16,81069451,+,GENCODE
ATMIN,ENST00000566488.1,chr16,81074129,+,GENCODE
ATN1,ENST00000356654.4,chr12,7033625,+,GENCODE
ATN1,ENST00000396684.2,chr12,7037475,+,GENCODE
ATOH1,ENST00000306011.3,chr4,94750041,+,GENCODE
ATOH7,ENST00000373673.3,chr10,69991870,-,GENCODE
ATOH8,ENST00000306279.3,chr2,85981016,+,GENCODE
ATOX1,"ENST00000313115.6,ENST00000522710.1",chr5,151138212,-,GENCODE
ATOX1,ENST00000524142.1,chr5,151152092,-,GENCODE
ATP10A,ENST00000356865.6,chr15,26108354,-,GENCODE
ATP10B,ENST00000327245.5,chr5,160279218,-,GENCODE
ATP10D,ENST00000273859.3,chr4,47487304,+,GENCODE
ATP11A,"ENST00000283558.8,ENST00000375630.2,ENST00000375645.3,ENST00000487903.1",chr13,113344642,+,GENCODE
ATP11B,ENST00000323116.5,chr3,182511287,+,GENCODE
ATP11C,ENST00000361648.2,chrX,138914446,-,GENCODE
ATP12A,ENST00000381946.3,chr13,25254714,+,GENCODE
ATP13A1,ENST00000357324.6,chr19,19774501,-,GENCODE
ATP13A2,"ENST00000326735.8,ENST00000452699.1",chr1,17338344,-,GENCODE
ATP13A3,ENST00000256031.4,chr3,194188967,-,GENCODE
ATP13A3,ENST00000439040.1,chr3,194219092,-,GENCODE
ATP13A4,ENST00000342695.4,chr3,193272910,-,GENCODE
ATP13A5,ENST00000342358.4,chr3,193096631,-,GENCODE
ATP1A1,ENST00000295598.5,chr1,116915881,+,GENCODE
ATP1A1,ENST00000537345.1,chr1,116916488,+,GENCODE
ATP1A2,ENST00000361216.3,chr1,160085562,+,GENCODE
ATP1A3,ENST00000545399.1,chr19,42498381,-,GENCODE
ATP1A4,ENST00000368081.4,chr1,160121359,+,GENCODE
ATP1B1,ENST00000367815.4,chr1,169075560,+,GENCODE
ATP1B1,ENST00000367816.1,chr1,169074934,+,GENCODE
ATP1B2,ENST00000250111.4,chr17,7554429,+,GENCODE
ATP1B3,ENST00000286371.3,chr3,141595455,+,GENCODE
ATP1B4,"ENST00000218008.3,ENST00000361319.3",chrX,119495966,+,GENCODE
ATP2A1,ENST00000395503.4,chr16,28889808,+,GENCODE
ATP2A2,ENST00000308664.6,chr12,110718920,+,GENCODE
ATP2A3,ENST00000397043.3,chr17,3867708,-,GENCODE
ATP2B1,ENST00000261173.2,chr12,90049843,-,GENCODE
ATP2B1,ENST00000428670.3,chr12,90102607,-,GENCODE
ATP2B2,ENST00000383800.4,chr3,10547340,-,GENCODE
ATP2B2,ENST00000397077.1,chr3,10749715,-,GENCODE
ATP2B3,ENST00000263519.4,chrX,152801579,+,GENCODE
ATP2B3,ENST00000349466.2,chrX,152783133,+,GENCODE
ATP2B4,ENST00000357681.5,chr1,203595688,+,GENCODE
ATP2C1,ENST00000428331.2,chr3,130613378,+,GENCODE
ATP2C1,"ENST00000508532.1,ENST00000510168.1",chr3,130612822,+,GENCODE
ATP2C2,ENST00000262429.4,chr16,84402132,+,GENCODE
ATP4A,ENST00000262623.3,chr19,36054559,-,GENCODE
ATP4B,ENST00000335288.4,chr13,114312500,-,GENCODE
ATP5A1,ENST00000282050.2,chr18,43684198,-,GENCODE
ATP5A1,ENST00000398752.6,chr18,43678318,-,GENCODE
ATP5B,ENST00000262030.3,chr12,57039797,-,GENCODE
ATP5C1,"ENST00000335698.4,ENST00000356708.7",chr10,7830115,+,GENCODE
ATP5D,"ENST00000215375.2,ENST00000395633.1,ENST00000591660.1",chr19,1241771,+,GENCODE
ATP5E,"ENST00000243997.3,ENST00000395659.1,ENST00000395663.1",chr20,57607393,-,GENCODE
ATP5F1,ENST00000369722.3,chr1,111991557,+,GENCODE
ATP5G1,"ENST00000355938.5,ENST00000393366.2",chr17,46970152,+,GENCODE
ATP5G2,ENST00000549164.1,chr12,54070181,-,GENCODE
ATP5G2,ENST00000602871.1,chr12,54069898,-,GENCODE
ATP5G3,ENST00000284727.4,chr2,176049334,-,GENCODE
ATP5G3,"ENST00000392541.3,ENST00000409194.1",chr2,176046413,-,GENCODE
ATP5H,ENST00000301587.4,chr17,73043057,-,GENCODE
ATP5I,ENST00000304312.4,chr4,668126,-,GENCODE
ATP5J,"ENST00000284971.3,ENST00000400094.1",chr21,27107248,-,GENCODE
ATP5J,"ENST00000400087.3,ENST00000400090.3,ENST00000400093.3",chr21,27107962,-,GENCODE
ATP5J2,ENST00000394186.3,chr7,99063783,-,GENCODE
ATP5J2,ENST00000544611.1,chr7,99058151,-,GENCODE
ATP5J2-PTCD1,ENST00000413834.1,chr7,99063786,-,GENCODE
ATP5L,ENST00000300688.3,chr11,118271868,+,GENCODE
ATP5L2,ENST00000505920.1,chr22,43036606,-,GENCODE
ATP5O,ENST00000290299.2,chr21,35288283,-,GENCODE
ATP5S,ENST00000311459.7,chr14,50779358,+,GENCODE
ATP5SL,ENST00000221943.9,chr19,41945809,-,GENCODE
ATP6AP1,ENST00000369762.2,chrX,153656977,+,GENCODE
ATP6AP1L,ENST00000380167.4,chr5,81575280,+,GENCODE
ATP6AP1L,ENST00000439350.1,chr5,81601165,+,GENCODE
ATP6AP2,ENST00000378438.4,chrX,40440159,+,GENCODE
ATP6V0A1,"ENST00000264649.6,ENST00000343619.4,ENST00000546249.1",chr17,40610887,+,GENCODE
ATP6V0A2,ENST00000330342.3,chr12,124196864,+,GENCODE
ATP6V0A4,"ENST00000310018.2,ENST00000353492.4",chr7,138482894,-,GENCODE
ATP6V0A4,ENST00000393054.1,chr7,138458781,-,GENCODE
ATP6V0B,ENST00000472174.2,chr1,44440319,+,GENCODE
ATP6V0C,ENST00000330398.4,chr16,2563870,+,GENCODE
ATP6V0D1,ENST00000290949.3,chr16,67515139,-,GENCODE
ATP6V0D2,ENST00000285393.3,chr8,87111065,+,GENCODE
ATP6V0E1,"ENST00000517669.1,ENST00000519374.1",chr5,172410796,+,GENCODE
ATP6V0E2,"ENST00000425642.2,ENST00000464662.1",chr7,149571106,+,GENCODE
ATP6V1A,ENST00000273398.3,chr3,113465865,+,GENCODE
ATP6V1B1,ENST00000234396.4,chr2,71163011,+,GENCODE
ATP6V1B2,ENST00000276390.2,chr8,20054877,+,GENCODE
ATP6V1C1,"ENST00000395862.3,ENST00000518738.1",chr8,104033309,+,GENCODE
ATP6V1C2,ENST00000381661.3,chr2,10861774,+,GENCODE
ATP6V1D,ENST00000216442.7,chr14,67826965,-,GENCODE
ATP6V1E1,ENST00000253413.5,chr22,18111583,-,GENCODE
ATP6V1E2,ENST00000306448.4,chr2,46747095,-,GENCODE
ATP6V1E2,ENST00000522587.1,chr2,46769695,-,GENCODE
ATP6V1F,ENST00000249289.4,chr7,128502879,+,GENCODE
ATP6V1G1,ENST00000374050.3,chr9,117350025,+,GENCODE
ATP6V1G2,ENST00000303892.5,chr6,31514620,-,GENCODE
ATP6V1G3,ENST00000281087.2,chr1,198510074,-,GENCODE
ATP6V1G3,ENST00000367382.1,chr1,198509864,-,GENCODE
ATP6V1H,ENST00000359530.2,chr8,54755821,-,GENCODE
ATP6V1H,ENST00000396774.2,chr8,54755601,-,GENCODE
ATP7A,ENST00000341514.6,chrX,77166198,+,GENCODE
ATP7B,ENST00000242839.4,chr13,52585629,-,GENCODE
ATP8A1,"ENST00000264449.10,ENST00000381668.5",chr4,42659115,-,GENCODE
ATP8A2,ENST00000381655.2,chr13,25946208,+,GENCODE
ATP8B1,ENST00000283684.4,chr18,55399038,-,GENCODE
ATP8B1,ENST00000536015.1,chr18,55470326,-,GENCODE
ATP8B2,ENST00000368489.3,chr1,154300275,+,GENCODE
ATP8B3,ENST00000539485.1,chr19,1812269,-,GENCODE
ATP8B4,ENST00000284509.6,chr15,50411418,-,GENCODE
ATP8B4,ENST00000559829.1,chr15,50406700,-,GENCODE
ATP9A,ENST00000338821.5,chr20,50385172,-,GENCODE
ATP9B,ENST00000307671.7,chr18,76829396,+,GENCODE
ATPAF1,ENST00000576409.1,chr1,47134125,-,GENCODE
ATPAF2,ENST00000474627.3,chr17,17942481,-,GENCODE
ATPIF1,ENST00000335514.5,chr1,28562643,+,GENCODE
ATR,ENST00000350721.4,chr3,142297667,-,GENCODE
ATRAID,ENST00000606999.1,chr2,27435178,+,GENCODE
ATRIP,ENST00000320211.3,chr3,48488136,+,GENCODE
ATRN,"ENST00000262919.5,ENST00000446916.2",chr20,3451720,+,GENCODE
ATRNL1,ENST00000355044.3,chr10,116853383,+,GENCODE
ATRX,"ENST00000373344.5,ENST00000395603.3",chrX,77041701,-,GENCODE
ATXN1,"ENST00000244769.4,ENST00000436367.1",chr6,16761703,-,GENCODE
ATXN10,ENST00000252934.5,chr22,46067678,+,GENCODE
ATXN1L,ENST00000427980.2,chr16,71879893,+,GENCODE
ATXN2,ENST00000377617.3,chr12,112037479,-,GENCODE
ATXN2L,"ENST00000325215.6,ENST00000336783.4,ENST00000340394.8,ENST00000382686.4,ENST00000395547.2,ENST00000564304.1",chr16,28834405,+,GENCODE
ATXN2L,ENST00000570200.1,chr16,28834572,+,GENCODE
ATXN3,ENST00000393287.5,chr14,92572953,-,GENCODE
ATXN3L,ENST00000380622.2,chrX,13338517,-,GENCODE
ATXN7,ENST00000398590.3,chr3,63850232,+,GENCODE
ATXN7,ENST00000538065.1,chr3,63898274,+,GENCODE
ATXN7L1,ENST00000419735.3,chr7,105517049,-,GENCODE
ATXN7L2,ENST00000369870.3,chr1,110026560,+,GENCODE
ATXN7L3,ENST00000389384.4,chr17,42275746,-,GENCODE
ATXN7L3,ENST00000454077.2,chr17,42275437,-,GENCODE
ATXN7L3B,ENST00000519948.2,chr12,74931550,+,GENCODE
AUH,ENST00000375731.4,chr9,94124194,-,GENCODE
AUNIP,ENST00000374298.3,chr1,26185902,-,GENCODE
AUP1,ENST00000377526.3,chr2,74757065,-,GENCODE
AURKA,"ENST00000312783.6,ENST00000347343.2,ENST00000371356.2,ENST00000395909.4,ENST00000395911.1,ENST00000395913.3,ENST00000395914.1,ENST00000395915.3",chr20,54967321,-,GENCODE
AURKAIP1,"ENST00000321751.5,ENST00000338370.3,ENST00000378853.3",chr1,1310545,-,GENCODE
AURKAIP1,ENST00000338338.5,chr1,1310874,-,GENCODE
AURKB,"ENST00000316199.6,ENST00000585124.1",chr17,8113907,-,GENCODE
AURKC,"ENST00000302804.7,ENST00000415300.2,ENST00000448930.1",chr19,57742394,+,GENCODE
AURKC,ENST00000598785.1,chr19,57742986,+,GENCODE
AURKC,ENST00000599062.1,chr19,57742616,+,GENCODE
AUTS2,ENST00000342771.4,chr7,69064318,+,GENCODE
AUTS2,ENST00000406775.2,chr7,69063904,+,GENCODE
AVEN,ENST00000306730.3,chr15,34331376,-,GENCODE
AVIL,ENST00000257861.3,chr12,58210253,-,GENCODE
AVL9,ENST00000318709.4,chr7,32535100,+,GENCODE
AVP,ENST00000380293.3,chr20,3065369,-,GENCODE
AVPI1,ENST00000370626.3,chr10,99447079,-,GENCODE
AVPR1A,ENST00000299178.2,chr12,63544721,-,GENCODE
AVPR1B,ENST00000367126.4,chr1,206223975,+,GENCODE
AVPR2,ENST00000337474.5,chrX,153170528,+,GENCODE
AVPR2,ENST00000358927.2,chrX,153170188,+,GENCODE
AWAT1,ENST00000374521.3,chrX,69454504,+,GENCODE
AWAT2,ENST00000276101.3,chrX,69269787,-,GENCODE
AXDND1,ENST00000367618.3,chr1,179334854,+,GENCODE
AXIN1,ENST00000262320.3,chr16,402658,-,GENCODE
AXIN1,ENST00000354866.3,chr16,402448,-,GENCODE
AXIN2,ENST00000307078.5,chr17,63557764,-,GENCODE
AXL,"ENST00000301178.4,ENST00000359092.3",chr19,41725123,+,GENCODE
AZGP1,ENST00000292401.4,chr7,99573779,-,GENCODE
AZI1,"ENST00000269392.4,ENST00000374782.3,ENST00000450824.2,ENST00000575907.1",chr17,79196750,-,GENCODE
AZI2,ENST00000479665.1,chr3,28390617,-,GENCODE
AZIN1,ENST00000337198.5,chr8,103876964,-,GENCODE
AZIN1,ENST00000347770.4,chr8,103876420,-,GENCODE
AZU1,ENST00000233997.2,chr19,827825,+,GENCODE
B2M,"ENST00000544417.1,ENST00000558401.1,ENST00000559916.1",chr15,45003699,+,GENCODE
B3GALNT1,ENST00000320474.4,chr3,160823111,-,GENCODE
B3GALNT1,"ENST00000392779.2,ENST00000392780.1,ENST00000392781.2",chr3,160823151,-,GENCODE
B3GALNT1,ENST00000473285.1,chr3,160822336,-,GENCODE
B3GALNT1,ENST00000488170.1,chr3,160822927,-,GENCODE
B3GALNT2,ENST00000366600.3,chr1,235667780,-,GENCODE
B3GALT1,ENST00000305861.1,chr2,168675181,+,GENCODE
B3GALT1,ENST00000392690.3,chr2,168725457,+,GENCODE
B3GALT2,ENST00000367434.4,chr1,193155783,-,GENCODE
B3GALT4,ENST00000451237.1,chr6,33244916,+,GENCODE
B3GALT5,"ENST00000343118.4,ENST00000398714.2",chr21,41029703,+,GENCODE
B3GALT5,ENST00000380618.1,chr21,41029253,+,GENCODE
B3GALT5,ENST00000380620.4,chr21,40928368,+,GENCODE
B3GALT6,ENST00000379198.2,chr1,1167628,+,GENCODE
B3GALTL,ENST00000343307.4,chr13,31774072,+,GENCODE
B3GAT1,"ENST00000312527.4,ENST00000392580.1",chr11,134281811,-,GENCODE
B3GAT1,ENST00000524765.1,chr11,134262246,-,GENCODE
B3GAT2,ENST00000230053.6,chr6,71666740,-,GENCODE
B3GAT3,ENST00000265471.5,chr11,62389646,-,GENCODE
B3GNT1,ENST00000311181.4,chr11,66115162,-,GENCODE
B3GNT2,ENST00000301998.4,chr2,62423247,+,GENCODE
B3GNT2,ENST00000405767.1,chr2,62442652,+,GENCODE
B3GNT3,"ENST00000318683.6,ENST00000595387.1",chr19,17905941,+,GENCODE
B3GNT4,ENST00000535274.1,chr12,122689146,+,GENCODE
B3GNT4,ENST00000546192.1,chr12,122688227,+,GENCODE
B3GNT5,ENST00000326505.3,chr3,182971031,+,GENCODE
B3GNT5,ENST00000460419.1,chr3,182971582,+,GENCODE
B3GNT5,ENST00000465010.1,chr3,182983089,+,GENCODE
B3GNT6,ENST00000354301.5,chr11,76745434,+,GENCODE
B3GNT7,ENST00000287590.5,chr2,232260253,+,GENCODE
B3GNT8,ENST00000321702.2,chr19,41934634,-,GENCODE
B3GNT9,ENST00000449549.3,chr16,67185116,-,GENCODE
B3GNTL1,ENST00000320865.3,chr17,81009685,-,GENCODE
B4GALNT1,ENST00000341156.4,chr12,58027137,-,GENCODE
B4GALNT2,ENST00000393354.2,chr17,47210130,+,GENCODE
B4GALNT3,ENST00000266383.5,chr12,569529,+,GENCODE
B4GALNT4,ENST00000329962.6,chr11,369803,+,GENCODE
B4GALT1,ENST00000379731.4,chr9,33167353,-,GENCODE
B4GALT2,ENST00000356836.6,chr1,44445548,+,GENCODE
B4GALT2,ENST00000372324.1,chr1,44444865,+,GENCODE
B4GALT3,"ENST00000319769.5,ENST00000367998.1",chr1,161147280,-,GENCODE
B4GALT4,ENST00000359213.3,chr3,118959792,-,GENCODE
B4GALT4,ENST00000393765.2,chr3,118959949,-,GENCODE
B4GALT4,ENST00000483209.1,chr3,118959485,-,GENCODE
B4GALT5,ENST00000371711.4,chr20,48330414,-,GENCODE
B4GALT6,ENST00000306851.5,chr18,29264685,-,GENCODE
B4GALT7,ENST00000029410.5,chr5,177027100,+,GENCODE
B9D1,ENST00000261499.4,chr17,19266025,-,GENCODE
B9D2,ENST00000243578.3,chr19,41870077,-,GENCODE
BAALC,ENST00000309982.5,chr8,104152937,+,GENCODE
BAAT,ENST00000259407.2,chr9,104145800,-,GENCODE
BAAT,ENST00000395051.3,chr9,104133756,-,GENCODE
BABAM1,"ENST00000359435.4,ENST00000447614.2,ENST00000598188.1,ENST00000601043.1",chr19,17378213,+,GENCODE
BACE1,ENST00000313005.6,chr11,117186971,-,GENCODE
BACE2,ENST00000330333.6,chr21,42539727,+,GENCODE
BACH1,ENST00000286800.3,chr21,30671191,+,GENCODE
BACH1,ENST00000399921.1,chr21,30671736,+,GENCODE
BACH2,"ENST00000257749.4,ENST00000343122.3,ENST00000537989.1",chr6,91006515,-,GENCODE
BAD,"ENST00000309032.3,ENST00000394532.3",chr11,64052125,-,GENCODE
BAG1,ENST00000379704.2,chr9,33264760,-,GENCODE
BAG2,ENST00000370693.5,chr6,57037123,+,GENCODE
BAG3,ENST00000369085.3,chr10,121410881,+,GENCODE
BAG4,ENST00000287322.4,chr8,38034116,+,GENCODE
BAG5,ENST00000299204.4,chr14,104029150,-,GENCODE
BAG5,ENST00000445922.2,chr14,104028654,-,GENCODE
BAG6,"ENST00000211379.5,ENST00000375964.6",chr6,31620478,-,GENCODE
BAG6,ENST00000375976.4,chr6,31620169,-,GENCODE
BAGE,NM_001187,chr21,11098936,-,REFSEQ
BAGE3,NM_182481,chr21,11098924,-,REFSEQ
BAGE4,NM_181704,chr21,11098924,-,REFSEQ
BAGE5,NM_182484,chr21,11098924,-,REFSEQ
BAHCC1,NM_001080519,chr17,79373539,+,REFSEQ
BAHD1,ENST00000416165.1,chr15,40733410,+,GENCODE
BAHD1,ENST00000560846.1,chr15,40750663,+,GENCODE
BAHD1,ENST00000561234.1,chr15,40731919,+,GENCODE
BAI1,ENST00000323289.5,chr8,143545376,+,GENCODE
BAI1,ENST00000517894.1,chr8,143530790,+,GENCODE
BAI2,ENST00000257070.4,chr1,32229647,-,GENCODE
BAI2,ENST00000527361.1,chr1,32222859,-,GENCODE
BAI3,ENST00000370598.1,chr6,69345258,+,GENCODE
BAIAP2,"ENST00000321280.7,ENST00000428708.2,ENST00000435091.3,ENST00000575712.1",chr17,79008954,+,GENCODE
BAIAP2L1,ENST00000005260.8,chr7,98030379,-,GENCODE
BAIAP2L2,ENST00000381669.3,chr22,38506676,-,GENCODE
BAIAP3,ENST00000426824.3,chr16,1383601,+,GENCODE
BAK1,"ENST00000360661.5,ENST00000374467.3",chr6,33548007,-,GENCODE
BAMBI,ENST00000375533.3,chr10,28966270,+,GENCODE
BANF1,"ENST00000312175.2,ENST00000445560.2",chr11,65769623,+,GENCODE
BANF1,ENST00000527348.1,chr11,65770252,+,GENCODE
BANF1,ENST00000533166.1,chr11,65770051,+,GENCODE
BANF2,"ENST00000246090.5,ENST00000377805.3",chr20,17680598,+,GENCODE
BANK1,ENST00000322953.4,chr4,102711763,+,GENCODE
BANP,ENST00000538234.1,chr16,87993476,+,GENCODE
BAP1,ENST00000460680.1,chr3,52444365,-,GENCODE
BARD1,ENST00000260947.4,chr2,215674427,-,GENCODE
BARHL1,ENST00000263610.2,chr9,135457571,+,GENCODE
BARHL1,ENST00000542090.1,chr9,135458045,+,GENCODE
BARHL2,ENST00000370445.4,chr1,91182793,-,GENCODE
BARX1,ENST00000253968.6,chr9,96717653,-,GENCODE
BARX2,ENST00000281437.4,chr11,129245834,+,GENCODE
BASP1,ENST00000322611.3,chr5,17217668,+,GENCODE
BATF,ENST00000286639.6,chr14,75988767,+,GENCODE
BATF2,ENST00000301887.4,chr11,64764516,-,GENCODE
BATF3,ENST00000243440.1,chr1,212873326,-,GENCODE
BAX,ENST00000345358.7,chr19,49458133,+,GENCODE
BAZ1A,ENST00000360310.1,chr14,35344852,-,GENCODE
BAZ1A,ENST00000382422.2,chr14,35344137,-,GENCODE
BAZ1B,"ENST00000339594.4,ENST00000404251.1",chr7,72936604,-,GENCODE
BAZ2A,ENST00000549884.1,chr12,57023994,-,GENCODE
BAZ2A,ENST00000551812.1,chr12,57030162,-,GENCODE
BAZ2B,ENST00000392783.2,chr2,160473202,-,GENCODE
BBC3,ENST00000439096.2,chr19,47734450,-,GENCODE
BBIP1,"ENST00000436562.1,ENST00000447005.1",chr10,112678936,-,GENCODE
BBOX1,ENST00000263182.3,chr11,27062508,+,GENCODE
BBOX1,ENST00000525090.1,chr11,27076763,+,GENCODE
BBOX1,ENST00000528583.1,chr11,27062859,+,GENCODE
BBOX1,ENST00000529202.1,chr11,27062271,+,GENCODE
BBS1,ENST00000318312.7,chr11,66278079,+,GENCODE
BBS10,ENST00000393262.3,chr12,76742221,-,GENCODE
BBS12,"ENST00000314218.3,ENST00000542236.1",chr4,123653856,+,GENCODE
BBS2,ENST00000245157.5,chr16,56554194,-,GENCODE
BBS4,ENST00000268057.4,chr15,72978527,+,GENCODE
BBS5,ENST00000554017.1,chr2,170335989,+,GENCODE
BBS7,ENST00000264499.4,chr4,122791651,-,GENCODE
BBS9,"ENST00000242067.6,ENST00000355070.2",chr7,33169147,+,GENCODE
BBX,"ENST00000325805.8,ENST00000415149.2",chr3,107241802,+,GENCODE
BBX,ENST00000406780.1,chr3,107318159,+,GENCODE
BCAM,ENST00000270233.6,chr19,45312359,+,GENCODE
BCAN,ENST00000329117.5,chr1,156611739,+,GENCODE
BCAP29,ENST00000005259.4,chr7,107220421,+,GENCODE
BCAP29,ENST00000379117.2,chr7,107220899,+,GENCODE
BCAP29,ENST00000379119.2,chr7,107221203,+,GENCODE
BCAP29,ENST00000445771.2,chr7,107220709,+,GENCODE
BCAP31,ENST00000345046.6,chrX,152990151,-,GENCODE
BCAP31,ENST00000441714.1,chrX,152989837,-,GENCODE
BCAR1,ENST00000162330.5,chr16,75285506,-,GENCODE
BCAR1,ENST00000538440.2,chr16,75299904,-,GENCODE
BCAR1,ENST00000542031.2,chr16,75282137,-,GENCODE
BCAR3,ENST00000260502.6,chr1,94147384,-,GENCODE
BCAR3,ENST00000370243.1,chr1,94146925,-,GENCODE
BCAR3,ENST00000370244.1,chr1,94312705,-,GENCODE
BCAS1,ENST00000395961.3,chr20,52687132,-,GENCODE
BCAS2,ENST00000369541.3,chr1,115124259,-,GENCODE
BCAS3,"ENST00000390652.5,ENST00000407086.3",chr17,58755240,+,GENCODE
BCAS4,"ENST00000262591.5,ENST00000358791.5,ENST00000371608.2",chr20,49411475,+,GENCODE
BCAT1,ENST00000261192.7,chr12,25102392,-,GENCODE
BCAT2,ENST00000316273.6,chr19,49314276,-,GENCODE
BCCIP,ENST00000278100.6,chr10,127512114,+,GENCODE
BCDIN3D,ENST00000333924.4,chr12,50236911,-,GENCODE
BCHE,ENST00000264381.3,chr3,165555259,-,GENCODE
BCKDHA,ENST00000269980.2,chr19,41903364,+,GENCODE
BCKDHB,"ENST00000320393.6,ENST00000356489.5",chr6,80816363,+,GENCODE
BCKDK,ENST00000219794.6,chr16,31119614,+,GENCODE
BCKDK,ENST00000394951.1,chr16,31117427,+,GENCODE
BCL10,ENST00000370580.1,chr1,85742772,-,GENCODE
BCL11A,ENST00000358510.4,chr2,60780565,-,GENCODE
BCL11B,ENST00000345514.2,chr14,99737821,-,GENCODE
BCL11B,ENST00000357195.3,chr14,99737564,-,GENCODE
BCL2,ENST00000333681.4,chr18,60987018,-,GENCODE
BCL2,ENST00000398117.1,chr18,60987360,-,GENCODE
BCL2A1,ENST00000267953.3,chr15,80263787,-,GENCODE
BCL2L1,"ENST00000307677.4,ENST00000420653.1",chr20,30310702,-,GENCODE
BCL2L1,ENST00000376062.2,chr20,30310399,-,GENCODE
BCL2L10,ENST00000260442.3,chr15,52404971,-,GENCODE
BCL2L11,"ENST00000308659.8,ENST00000393256.3",chr2,111878497,+,GENCODE
BCL2L12,"ENST00000246785.3,ENST00000441864.2",chr19,50168822,+,GENCODE
BCL2L13,ENST00000317582.5,chr22,18121355,+,GENCODE
BCL2L14,ENST00000308721.5,chr12,12223872,+,GENCODE
BCL2L14,ENST00000396367.1,chr12,12224401,+,GENCODE
BCL2L14,ENST00000589718.1,chr12,12202777,+,GENCODE
BCL2L15,ENST00000393316.3,chr1,114430168,-,GENCODE
BCL2L2,ENST00000250405.5,chr14,23775970,+,GENCODE
BCL2L2-PABPN1,"ENST00000553781.1,ENST00000556100.1,ENST00000557008.1",chr14,23776092,+,GENCODE
BCL3,ENST00000164227.5,chr19,45251803,+,GENCODE
BCL6,ENST00000232014.4,chr3,187454356,-,GENCODE
BCL6,ENST00000406870.2,chr3,187463514,-,GENCODE
BCL6B,ENST00000293805.5,chr17,6926338,+,GENCODE
BCL7A,ENST00000261822.4,chr12,122459791,+,GENCODE
BCL7B,ENST00000223368.2,chr7,72972331,-,GENCODE
BCL7C,ENST00000215115.4,chr16,30906280,-,GENCODE
BCL9,ENST00000234739.3,chr1,147013181,+,GENCODE
BCL9L,ENST00000334801.3,chr11,118781612,-,GENCODE
BCLAF1,"ENST00000353331.4,ENST00000530767.1,ENST00000531224.1",chr6,136610964,-,GENCODE
BCLAF1,ENST00000392348.2,chr6,136601003,-,GENCODE
BCMO1,ENST00000258168.2,chr16,81272052,+,GENCODE
BCO2,ENST00000357685.5,chr11,112046189,+,GENCODE
BCOR,"ENST00000342274.4,ENST00000378455.4",chrX,40036581,-,GENCODE
BCOR,"ENST00000378444.4,ENST00000397354.3",chrX,39956655,-,GENCODE
BCORL1,ENST00000218147.7,chrX,129116585,+,GENCODE
BCORL1,ENST00000540052.1,chrX,129139163,+,GENCODE
BCR,ENST00000305877.8,chr22,23522396,+,GENCODE
BCS1L,"ENST00000359273.3,ENST00000392109.1,ENST00000392110.2,ENST00000392111.2,ENST00000412366.1,ENST00000431802.1,ENST00000439945.1",chr2,219524448,+,GENCODE
BDH1,ENST00000358186.2,chr3,197300193,-,GENCODE
BDH1,"ENST00000392378.2,ENST00000392379.1",chr3,197282887,-,GENCODE
BDH2,ENST00000296424.4,chr4,104021039,-,GENCODE
BDKRB1,ENST00000216629.6,chr14,96722160,+,GENCODE
BDKRB2,"ENST00000306005.3,ENST00000554311.1",chr14,96671132,+,GENCODE
BDNF,"ENST00000356660.4,ENST00000418212.1,ENST00000533246.1",chr11,27722034,-,GENCODE
