Gene ID,TSS ID,Transcript ID,gene name,chromosome,strand,TSS source,primary TSS 5prime,primary TSS 3prime,secondary TSS 5prime,secondary TSS 3prime
LH04583,TSS30027,ENST00000524131,MEG3,chr14,+,"CAGE, robust peak",101301723,101301725,101302041,101302110
LH04584,TSS30028,ENST00000522618,MEG3,chr14,+,"CAGE, robust peak",101301869,101301879,101302219,101302227
LH04585,TSS30030,ENST00000521256,MEG3,chr14,+,CAGE permissive peak,101323864,101323890,101323864,101323890
LH04586,TSS30031,CUFF.15113.2,-,chr14,+,Annotation,101331610,101331610,101331610,101331610
LH04587,TSS30032,CUFF.15238.1,MEG8,chr14,+,Annotation,101350332,101350332,101350332,101350332
LH04588,TSS30035,P1P2,MEG8,chr14,+,"CAGE, primary peaks",101361187,101361191,101361187,101361191
LH04589,TSS30037,P1P2,"MEG8,RP11-909M7.3",chr14,+,"CAGE, primary peaks",101364250,101364260,101364250,101364260
LH04590,TSS30038,CUFF.15238.14,MEG8,chr14,+,Annotation,101371546,101371546,101371546,101371546
LH04591,TSS30041,ENST00000553421,MEG8,chr14,+,Annotation,101379721,101379721,101379721,101379721
LH04592,TSS30042,CUFF.15238.19,RP11-909M7.3,chr14,+,Annotation,101398795,101398795,101398795,101398795
LH04593,TSS30046,P1P2,"AL132709.5,RP11-909M7.3",chr14,+,"CAGE, primary peaks",101403578,101403580,101403578,101403580
LH04594,TSS30047,"ENST00000555354,ENST00000554485",AL132709.5,chr14,+,Annotation,101405244,101405244,101405244,101405244
LH04595,TSS30049,ENST00000414488,AL132709.5,chr14,+,Annotation,101415315,101415315,101415315,101415315
LH04596,TSS30053,ENST00000423708,AL132709.8,chr14,+,Annotation,101426846,101426846,101426846,101426846
LH04597,TSS30056,CUFF.15115.1,-,chr14,+,Annotation,101473392,101473392,101473392,101473392
LH04598,TSS30058,CUFF.15114.1,-,chr14,+,Annotation,101494599,101494599,101494599,101494599
LH04599,TSS30059,CUFF.15149.1,MEG9,chr14,+,Annotation,101500808,101500808,101500808,101500808
LH04600,TSS30072,ENST00000452349,MEG9,chr14,+,Annotation,101538144,101538144,101538144,101538144
LH04601,TSS30102,"CUFF.15163.6,ENST00000607414",RP11-1017G21.5,chr14,+,"CAGE, robust peak",102414641,102414642,102414651,102414721
LH04602,TSS30105,CUFF.15165.1,-,chr14,+,Annotation,102702075,102702075,102702075,102702075
LH04603,TSS30119,ENST00000560931,RP11-365N19.2,chr14,+,Annotation,103399911,103399911,103399911,103399911
LH04604,TSS30120,CUFF.15189.1,-,chr14,+,Annotation,103415032,103415032,103415032,103415032
LH04605,TSS30121,P1P2,-,chr14,+,"CAGE, primary peaks",103524166,103524207,103524229,103524236
LH04606,TSS30127,CUFF.15208.1,-,chr14,+,Annotation,103585407,103585407,103585407,103585407
LH04607,TSS30138,CUFF.15216.1,-,chr14,+,Annotation,103971031,103971031,103971031,103971031
LH04608,TSS30142,CUFF.15223.1,-,chr14,+,Annotation,104063753,104063753,104063753,104063753
LH04609,TSS30143,ENST00000602827,RP11-73M18.6,chr14,+,Annotation,104153913,104153913,104153913,104153913
LH04610,TSS30144,ENST00000602669,RP11-73M18.7,chr14,+,Annotation,104160897,104160897,104160897,104160897
LH04611,TSS30145,ENST00000602422,RP11-73M18.8,chr14,+,Annotation,104162690,104162690,104162690,104162690
LH04612,TSS30146,ENST00000602383,RP11-73M18.9,chr14,+,Annotation,104179904,104179904,104179904,104179904
LH04613,TSS30186,P1P2,RP11-982M15.6,chr14,+,"CAGE, primary peaks",105147464,105147523,105147439,105147459
LH04614,TSS30187,ENST00000557223,RP11-982M15.2,chr14,+,Annotation,105235686,105235686,105235686,105235686
LH04615,TSS30188,P1P2,"-,LINC00638",chr14,+,"CAGE, primary peaks",105281710,105281738,105281710,105281738
LH04616,TSS30189,P1P2,LINC00638,chr14,+,"CAGE, primary peaks",105287294,105287295,105287294,105287295
LH04617,TSS30195,CUFF.15302.1,-,chr14,+,Annotation,105469612,105469612,105469612,105469612
LH04618,TSS30196,CUFF.15408.1,-,chr14,+,Annotation,105498852,105498852,105498852,105498852
LH04619,TSS30197,CUFF.15408.4,-,chr14,+,CAGE permissive peak,105499175,105499201,105499175,105499201
LH04620,TSS30212,CUFF.15409.1,TUCP-GPR132-1,chr14,+,Annotation,105534529,105534529,105534529,105534529
LH04621,TSS30207,P1P2,RP11-44N21.1,chr14,+,"CAGE, primary peaks",105559618,105559668,105559784,105559822
LH04622,TSS30209,ENST00000546968,RP11-44N21.1,chr14,+,Annotation,105561528,105561528,105561528,105561528
LH04623,TSS30210,ENST00000548361,RP11-44N21.1,chr14,+,Annotation,105561662,105561662,105561662,105561662
LH04624,TSS30248,CUFF.15441.3,LINC00221,chr14,+,Annotation,106825688,106825688,106825688,106825688
LH04625,TSS30249,CUFF.15441.4,-,chr14,+,Annotation,106828087,106828087,106828087,106828087
LH04626,TSS30250,CUFF.15441.5,-,chr14,+,Annotation,106829780,106829780,106829780,106829780
LH04627,TSS30262,CUFF.15444.2,-,chr14,+,"CAGE, robust peak",106857420,106857427,106857453,106857490
LH04628,TSS30268,CUFF.15447.1,LINC00221,chr14,+,Annotation,106936686,106936686,106936686,106936686
LH04629,TSS30269,P1P2,LINC00221,chr14,+,"CAGE, primary peaks",106938552,106938596,106938501,106938524
LH04630,TSS30282,CUFF.14050.2,BMS1P17,chr14,-,Annotation,19686024,19686024,19686024,19686024
LH04631,TSS30285,CUFF.14051.1,CTD-2314B22.3,chr14,-,Annotation,19887522,19887522,19887522,19887522
LH04632,TSS30290,ENST00000550805,CTD-2314B22.3,chr14,-,Annotation,19894794,19894794,19894794,19894794
LH04633,TSS30292,ENST00000548057,CTD-2314B22.3,chr14,-,Annotation,19919158,19919158,19919158,19919158
LH04634,TSS30289,"ENST00000551334,ENST00000546382,ENST00000552602,ENST00000553153",CTD-2314B22.3,chr14,-,Annotation,19925327,19925327,19925327,19925327
LH04635,TSS30296,ENST00000547577,CTD-2311B13.7,chr14,-,Annotation,19963645,19963645,19963645,19963645
LH04636,TSS30303,CUFF.13706.1,-,chr14,-,Annotation,20037996,20037996,20037996,20037996
LH04637,TSS30304,CUFF.13707.2,-,chr14,-,Annotation,20046175,20046175,20046175,20046175
LH04638,TSS30309,ENST00000556738,CTD-2292M16.8,chr14,-,Annotation,20732467,20732467,20732467,20732467
LH04639,TSS30311,CUFF.13728.1,-,chr14,-,Annotation,20777699,20777699,20777699,20777699
LH04640,TSS30313,P1P2,RPPH1,chr14,-,"CAGE, primary peaks",20811546,20811584,20811496,20811529
LH04641,TSS30312,CUFF.13731.1,RPPH1,chr14,-,Annotation,20812332,20812332,20812332,20812332
LH04642,TSS30315,P1P2,RP11-203M5.8,chr14,-,"CAGE, primary peaks",20945069,20945075,20945069,20945075
LH04643,TSS30317,CUFF.13747.3,RP11-203M5.8,chr14,-,Annotation,20950102,20950102,20950102,20950102
LH04644,TSS30325,CUFF.13752.2,-,chr14,-,Annotation,21150054,21150054,21150054,21150054
LH04645,TSS30331,P1P2,RP11-903H12.3,chr14,-,"CAGE, primary peaks",21175090,21175105,21175090,21175105
LH04646,TSS30327,CUFF.13802.3,RP11-903H12.3,chr14,-,Annotation,21268126,21268126,21268126,21268126
LH04647,TSS30348,P1P2,RP11-84C10.4,chr14,-,"CAGE, primary peaks",21467316,21467327,21467340,21467349
LH04648,TSS30349,ENST00000555379,LINC00641,chr14,-,Annotation,21673662,21673662,21673662,21673662
LH04649,TSS30350,ENST00000555688,LINC00641,chr14,-,Annotation,21675059,21675059,21675059,21675059
LH04650,TSS30377,P1P2,AE000661.37,chr14,-,"CAGE, primary peaks",22950271,22950312,22950271,22950312
LH04651,TSS30384,CUFF.13786.1,-,chr14,-,Annotation,23082776,23082776,23082776,23082776
LH04652,TSS30386,P1P2,CTD-2555K7.2,chr14,-,"CAGE, primary peaks",23235744,23235781,23235795,23235817
LH04653,TSS30387,CUFF.13790.1,-,chr14,-,Annotation,23304967,23304967,23304967,23304967
LH04654,TSS30398,CUFF.13823.1,-,chr14,-,Annotation,24053730,24053730,24053730,24053730
LH04655,TSS30420,ENST00000399886,DHRS4-AS1,chr14,-,Annotation,24422578,24422578,24422578,24422578
LH04656,TSS30418,P1P2,DHRS4-AS1,chr14,-,"CAGE, primary peaks",24423336,24423397,24423336,24423397
LH04656,TSS30421,P1P2,DHRS4-AS1,chr14,-,"CAGE, primary peaks",24423336,24423397,24423336,24423397
LH04657,TSS30419,"CUFF.13851.4,ENST00000558423",DHRS4-AS1,chr14,-,Annotation,24458048,24458048,24458048,24458048
LH04658,TSS30422,CUFF.13824.1,-,chr14,-,Annotation,24476331,24476331,24476331,24476331
LH04659,TSS30428,CUFF.13837.1,-,chr14,-,Annotation,24580894,24580894,24580894,24580894
LH04660,TSS30430,CUFF.13841.1,-,chr14,-,Annotation,24640421,24640421,24640421,24640421
LH04661,TSS30431,P1P2,AL136419.6,chr14,-,"CAGE, primary peaks",24685246,24685287,24685160,24685201
LH04662,TSS30480,"CUFF.13895.6,CUFF.13895.15",RP11-966I7.1,chr14,-,"CAGE, robust peak",29235757,29235798,29235637,29235653
LH04663,TSS30477,CUFF.13895.17,RP11-966I7.1,chr14,-,Annotation,29236371,29236371,29236371,29236371
LH04664,TSS30482,P1P2,RP11-966I7.2,chr14,-,"CAGE, primary peaks",29254996,29255010,29254984,29254993
LH04665,TSS30514,CUFF.13954.1,-,chr14,-,CAGE permissive peak,30832699,30832708,30832699,30832708
LH04666,TSS30508,P1P2,RP11-1103G16.1,chr14,-,"CAGE, primary peaks",30943255,30943277,30943255,30943277
LH04667,TSS30516,CUFF.13899.1,-,chr14,-,Annotation,31183427,31183427,31183427,31183427
LH04668,TSS30522,ENST00000555421,RP11-829H16.3,chr14,-,Annotation,31354394,31354394,31354394,31354394
LH04669,TSS30520,CUFF.13909.2,RP11-829H16.3,chr14,-,Annotation,31354527,31354527,31354527,31354527
LH04670,TSS30521,P1P2,RP11-829H16.3,chr14,-,"CAGE, primary peaks",31358904,31358917,31358904,31358917
LH04670,TSS30523,P1P2,RP11-829H16.3,chr14,-,"CAGE, primary peaks",31358874,31358889,31358874,31358889
LH04671,TSS30525,CUFF.13907.2,-,chr14,-,Annotation,31565650,31565650,31565650,31565650
LH04672,TSS30524,CUFF.13907.1,-,chr14,-,Annotation,31566059,31566059,31566059,31566059
LH04673,TSS30532,CUFF.13917.1,-,chr14,-,Annotation,32083396,32083396,32083396,32083396
LH04674,TSS30545,P1P2,ARHGAP5-AS1,chr14,-,"CAGE, primary peaks",32546027,32546042,32546116,32546121
LH04675,TSS30546,CUFF.13928.2,-,chr14,-,"CAGE, robust peak",32670938,32670948,32670916,32670925
LH04676,TSS30582,CUFF.13967.1,-,chr14,-,Annotation,34938862,34938862,34938862,34938862
LH04677,TSS30589,CUFF.13982.1,-,chr14,-,Annotation,35163558,35163558,35163558,35163558
LH04678,TSS30592,P1P2,RP11-85K15.2,chr14,-,"CAGE, primary peaks",35451702,35451746,35451751,35451774
LH04679,TSS30593,CUFF.13974.1,-,chr14,-,Annotation,35499078,35499078,35499078,35499078
LH04680,TSS30595,CUFF.13983.1,-,chr14,-,Annotation,35747512,35747512,35747512,35747512
LH04681,TSS30596,CUFF.13984.1,-,chr14,-,Annotation,35788169,35788169,35788169,35788169
LH04682,TSS30647,CUFF.14020.1,-,chr14,-,Annotation,37992819,37992819,37992819,37992819
LH04683,TSS30649,P1P2,RP11-356O9.2,chr14,-,"CAGE, primary peaks",38036271,38036301,38036323,38036334
LH04684,TSS30650,CUFF.14021.1,-,chr14,-,"CAGE, robust peak",38067629,38067650,38067591,38067598
LH04685,TSS30651,CUFF.14031.1,-,chr14,-,Annotation,38095614,38095614,38095614,38095614
LH04686,TSS30652,CUFF.14031.2,-,chr14,-,Annotation,38096578,38096578,38096578,38096578
LH04687,TSS30653,CUFF.14032.1,-,chr14,-,Annotation,38199314,38199314,38199314,38199314
LH04688,TSS30666,CUFF.14188.1,-,chr14,-,CAGE permissive peak,38678511,38678528,38678171,38678173
LH04689,TSS30678,P1P2,RP11-407N17.4,chr14,-,"CAGE, primary peaks",39645069,39645090,39645017,39645025
LH04690,TSS30684,P1P2,RP11-407N17.5,chr14,-,"CAGE, primary peaks",39736295,39736320,39736281,39736294
LH04691,TSS30718,CUFF.14089.12,-,chr14,-,Annotation,43942367,43942367,43942367,43942367
LH04692,TSS30764,"CUFF.14143.16,CUFF.14143.17",LINC00648,chr14,-,Annotation,48369945,48369945,48369945,48369945
LH04693,TSS30771,CUFF.14114.1,-,chr14,-,Annotation,48686892,48686892,48686892,48686892
LH04694,TSS30768,"CUFF.14113.2,CUFF.14113.3,CUFF.14113.7",-,chr14,-,Annotation,48737282,48737282,48737282,48737282
LH04695,TSS30778,CUFF.14148.12,-,chr14,-,Annotation,49258138,49258138,49258138,49258138
LH04696,TSS30787,CUFF.14141.1,-,chr14,-,Annotation,50010259,50010259,50010259,50010259
LH04697,TSS30793,ENST00000555043,RP11-649E7.5,chr14,-,Annotation,50090198,50090198,50090198,50090198
LH04698,TSS30794,ENST00000556657,RP11-649E7.7,chr14,-,Annotation,50096608,50096608,50096608,50096608
LH04699,TSS30798,"CUFF.14167.2,CUFF.14167.3",-,chr14,-,CAGE permissive peak,50334895,50334901,50334846,50334857
LH04700,TSS30799,CUFF.14160.2,-,chr14,-,CAGE permissive peak,50360546,50360548,50360157,50360181
LH04701,TSS30801,"CUFF.14168.4,CUFF.14168.5",-,chr14,-,Annotation,50363771,50363771,50363771,50363771
LH04702,TSS30800,"CUFF.14168.1,CUFF.14168.2,CUFF.14168.3,CUFF.14168.6,CUFF.14168.7,CUFF.14168.8,CUFF.14168.9",-,chr14,-,Annotation,50363979,50363979,50363979,50363979
LH04703,TSS30802,"CUFF.14168.10,CUFF.14168.15",-,chr14,-,Annotation,50364395,50364395,50364395,50364395
LH04704,TSS30810,ENST00000603474,RP11-58E21.3,chr14,-,Annotation,50505806,50505806,50505806,50505806
LH04705,TSS30813,CUFF.14215.5,RP11-58E21.7,chr14,-,Annotation,50555913,50555913,50555913,50555913
LH04706,TSS30816,ENST00000555403,RP11-247L20.4,chr14,-,Annotation,50794627,50794627,50794627,50794627
LH04707,TSS30817,CUFF.14174.1,-,chr14,-,Annotation,50877573,50877573,50877573,50877573
LH04708,TSS30818,ENST00000602954,RP11-248J18.2,chr14,-,Annotation,51129896,51129896,51129896,51129896
LH04709,TSS30819,ENST00000602615,RP11-248J18.3,chr14,-,Annotation,51190990,51190990,51190990,51190990
LH04710,TSS30826,CUFF.14183.1,-,chr14,-,Annotation,51352529,51352529,51352529,51352529
LH04711,TSS30825,CUFF.14182.2,-,chr14,-,Annotation,51354958,51354958,51354958,51354958
LH04712,TSS30829,P1P2,-,chr14,-,"CAGE, primary peaks",51721159,51721177,51721159,51721177
LH04713,TSS30830,CUFF.14219.1,-,chr14,-,Annotation,51725735,51725735,51725735,51725735
LH04714,TSS30843,CUFF.14247.7,-,chr14,-,Annotation,52110230,52110230,52110230,52110230
LH04715,TSS30844,P1P2,-,chr14,-,"CAGE, primary peaks",52118327,52118361,52118327,52118361
LH04716,TSS30847,ENST00000553603,RP11-463J10.3,chr14,-,Annotation,52436518,52436518,52436518,52436518
LH04717,TSS30855,CUFF.14233.7,RP11-1033H12.1,chr14,-,Annotation,52592190,52592190,52592190,52592190
LH04718,TSS30862,CUFF.14230.1,-,chr14,-,Annotation,52799954,52799954,52799954,52799954
LH04719,TSS30863,CUFF.14238.1,-,chr14,-,Annotation,52889572,52889572,52889572,52889572
LH04720,TSS30864,ENST00000554548,RP11-589M4.3,chr14,-,Annotation,53286752,53286752,53286752,53286752
LH04721,TSS30865,CUFF.14241.1,-,chr14,-,"CAGE, robust peak",53419151,53419162,53419133,53419144
LH04722,TSS30880,CUFF.14526.1,-,chr14,-,Annotation,54409035,54409035,54409035,54409035
LH04723,TSS30894,CUFF.14259.1,-,chr14,-,Annotation,55006994,55006994,55006994,55006994
LH04724,TSS30902,CUFF.14277.3,-,chr14,-,Annotation,55251146,55251146,55251146,55251146
LH04725,TSS30907,CUFF.14279.1,-,chr14,-,Annotation,55536273,55536273,55536273,55536273
LH04726,TSS30908,CUFF.14279.3,-,chr14,-,Annotation,55536913,55536913,55536913,55536913
LH04727,TSS30909,CUFF.14282.2,-,chr14,-,Annotation,55570070,55570070,55570070,55570070
LH04728,TSS30911,CUFF.14285.1,-,chr14,-,Annotation,55696519,55696519,55696519,55696519
LH04729,TSS30919,P1P2,KTN1-AS1,chr14,-,"CAGE, primary peaks",56046794,56046839,56046843,56046852
LH04730,TSS30926,ENST00000554196,LINC00520,chr14,-,Annotation,56260078,56260078,56260078,56260078
LH04731,TSS30925,P1P2,LINC00520,chr14,-,"CAGE, primary peaks",56263400,56263407,56263400,56263407
LH04732,TSS30939,ENST00000553800,RP11-1085N6.2,chr14,-,Annotation,57114490,57114490,57114490,57114490
LH04733,TSS30950,ENST00000554160,RP11-108M12.3,chr14,-,Annotation,57535260,57535260,57535260,57535260
LH04734,TSS30948,ENST00000551408,RP11-108M12.3,chr14,-,Annotation,57579378,57579378,57579378,57579378
LH04735,TSS30954,CUFF.14345.5,-,chr14,-,Annotation,57810818,57810818,57810818,57810818
LH04736,TSS30959,ENST00000563647,RP11-999E24.3,chr14,-,Annotation,58461243,58461243,58461243,58461243
LH04737,TSS30961,CUFF.14316.1,-,chr14,-,Annotation,58705464,58705464,58705464,58705464
LH04738,TSS30963,ENST00000555162,RP11-349A22.5,chr14,-,Annotation,58735593,58735593,58735593,58735593
LH04739,TSS30964,P1P2,RP11-349A22.5,chr14,-,"CAGE, primary peaks",58740722,58740736,58740722,58740736
LH04740,TSS30965,ENST00000557412,RP11-349A22.5,chr14,-,Annotation,58753741,58753741,58753741,58753741
LH04741,TSS30962,P1P2,RP11-349A22.5,chr14,-,"CAGE, primary peaks",58764824,58764863,58764824,58764863
LH04742,TSS30969,CUFF.14328.2,RP11-517O13.1,chr14,-,Annotation,58873238,58873238,58873238,58873238
LH04743,TSS30970,CUFF.14329.3,-,chr14,-,"CAGE, robust peak",59113199,59113200,59113199,59113200
LH04744,TSS30978,CUFF.14331.1,-,chr14,-,Annotation,59855662,59855662,59855662,59855662
LH04745,TSS30980,CUFF.14336.1,RP11-62H20.1,chr14,-,Annotation,60388395,60388395,60388395,60388395
LH04746,TSS30994,CUFF.14344.1,-,chr14,-,Annotation,60749467,60749467,60749467,60749467
LH04747,TSS31000,CUFF.14364.3,RP11-1042B17.5,chr14,-,Annotation,61109382,61109382,61109382,61109382
LH04748,TSS31001,CUFF.14352.1,-,chr14,-,Annotation,61550459,61550459,61550459,61550459
LH04749,TSS31010,P1P2,RP11-902B17.1,chr14,-,"CAGE, primary peaks",61789529,61789551,61789365,61789381
LH04750,TSS31018,P1P2,RP11-47I22.2,chr14,-,"CAGE, primary peaks",62037361,62037375,62037324,62037345
LH04751,TSS31020,CUFF.14409.21,RP11-47I22.2,chr14,-,Annotation,62064071,62064071,62064071,62064071
LH04752,TSS31025,CUFF.14410.1,-,chr14,-,Annotation,62128783,62128783,62128783,62128783
LH04753,TSS31028,P1P2,HIF1A-AS1,chr14,-,"CAGE, primary peaks",62162543,62162564,62162515,62162532
LH04754,TSS31031,"CUFF.14367.4,CUFF.14367.5",HIF1A-AS2,chr14,-,Annotation,62193221,62193221,62193221,62193221
LH04755,TSS31035,CUFF.14368.1,RP11-618G20.1,chr14,-,Annotation,62206792,62206792,62206792,62206792
LH04756,TSS31032,P1P2,HIF1A-AS2,chr14,-,"CAGE, primary peaks",62217779,62217824,62217749,62217763
LH04757,TSS31034,CUFF.14367.11,HIF1A-AS2,chr14,-,Annotation,62223600,62223600,62223600,62223600
LH04758,TSS31047,CUFF.14394.1,-,chr14,-,Annotation,63757666,63757666,63757666,63757666
LH04759,TSS31063,P1P2,RP11-544I20.2,chr14,-,"CAGE, primary peaks",64805320,64805337,64805298,64805315
LH04760,TSS31067,ENST00000609125,CTD-2555O16.4,chr14,-,Annotation,64908956,64908956,64908956,64908956
LH04761,TSS31066,P1P2,CTD-2555O16.2,chr14,-,"CAGE, primary peaks",64915485,64915488,64915485,64915488
LH04762,TSS31069,CUFF.14425.2,RP11-973N13.4,chr14,-,Annotation,65006098,65006098,65006098,65006098
LH04763,TSS31068,P1P2,RP11-973N13.4,chr14,-,"CAGE, primary peaks",65007081,65007087,65007134,65007137
LH04764,TSS31070,ENST00000554454,RP11-973N13.3,chr14,-,Annotation,65063254,65063254,65063254,65063254
LH04765,TSS31073,CUFF.14419.1,-,chr14,-,"CAGE, robust peak",65171043,65171083,65171009,65171022
LH04766,TSS31077,CUFF.14435.2,-,chr14,-,Annotation,65453457,65453457,65453457,65453457
LH04767,TSS31078,ENST00000606934,RP11-840I19.5,chr14,-,Annotation,65470485,65470485,65470485,65470485
LH04768,TSS31079,CUFF.14437.1,-,chr14,-,Annotation,65527208,65527208,65527208,65527208
LH04769,TSS31102,P1P2,RP11-72M17.1,chr14,-,"CAGE, primary peaks",66963039,66963058,66963039,66963058
LH04770,TSS31117,CUFF.14469.1,-,chr14,-,Annotation,68032560,68032560,68032560,68032560
LH04771,TSS31116,CUFF.14468.1,-,chr14,-,Annotation,68033900,68033900,68033900,68033900
LH04772,TSS31120,CUFF.14472.1,-,chr14,-,Annotation,68093848,68093848,68093848,68093848
LH04773,TSS31121,CUFF.14473.1,-,chr14,-,Annotation,68098151,68098151,68098151,68098151
LH04774,TSS31127,P1P2,CTD-2566J3.1,chr14,-,"CAGE, primary peaks",68596913,68596917,68596913,68596917
LH04775,TSS31126,"CUFF.14485.1,CUFF.14485.2",CTD-2566J3.1,chr14,-,Annotation,68634236,68634236,68634236,68634236
LH04776,TSS31153,P1P2,CTD-2325P2.4,chr14,-,"CAGE, primary peaks",69095106,69095150,69095183,69095201
LH04777,TSS31148,CUFF.14541.71,CTD-2325P2.3,chr14,-,Annotation,69154114,69154114,69154114,69154114
LH04778,TSS31167,CUFF.14492.3,-,chr14,-,Annotation,69247022,69247022,69247022,69247022
LH04779,TSS31178,CUFF.14519.1,RP11-363J20.2,chr14,-,Annotation,69724912,69724912,69724912,69724912
LH04780,TSS31197,CUFF.14549.1,-,chr14,-,Annotation,70477736,70477736,70477736,70477736
LH04781,TSS31199,P1P2,SYNJ2BP-COX16,chr14,-,"CAGE, primary peaks",70883708,70883819,70883708,70883819
LH04782,TSS31205,CUFF.14603.2,CTD-2540L5.5,chr14,-,Annotation,71108566,71108566,71108566,71108566
LH04783,TSS31216,CUFF.14575.1,-,chr14,-,"CAGE, robust peak",71374288,71374319,71374061,71374067
LH04784,TSS31228,CUFF.14612.13,RP1-261D10.2,chr14,-,Annotation,71778093,71778093,71778093,71778093
LH04785,TSS31231,P1P2,RP1-261D10.2,chr14,-,"CAGE, primary peaks",71788540,71788579,71788491,71788517
LH04785,TSS31232,P1P2,RP1-261D10.2,chr14,-,"CAGE, primary peaks",71788540,71788579,71788491,71788517
LH04785,TSS31233,P1P2,RP1-261D10.2,chr14,-,"CAGE, primary peaks",71788540,71788579,71788491,71788517
LH04786,TSS31234,CUFF.14589.1,-,chr14,-,Annotation,71853880,71853880,71853880,71853880
LH04787,TSS31237,CUFF.14591.1,-,chr14,-,Annotation,71905177,71905177,71905177,71905177
LH04788,TSS31238,CUFF.14592.1,-,chr14,-,Annotation,71909514,71909514,71909514,71909514
LH04789,TSS31248,CUFF.14594.1,-,chr14,-,Annotation,73428804,73428804,73428804,73428804
LH04790,TSS31250,P1P2,RP11-109N23.4,chr14,-,"CAGE, primary peaks",73526125,73526162,73526125,73526162
LH04791,TSS31251,CUFF.14595.1,-,chr14,-,Annotation,73590910,73590910,73590910,73590910
LH04792,TSS31258,ENST00000556578,RP4-647C14.3,chr14,-,Annotation,73740789,73740789,73740789,73740789
LH04793,TSS31259,CUFF.14616.2,RP1-240K6.3,chr14,-,"CAGE, robust peak",73930324,73930350,73930312,73930321
LH04794,TSS31260,CUFF.14616.3,RP1-240K6.3,chr14,-,Annotation,73932873,73932873,73932873,73932873
LH04795,TSS31262,CUFF.14613.1,-,chr14,-,Annotation,74034419,74034419,74034419,74034419
LH04796,TSS31263,CUFF.14611.1,-,chr14,-,"CAGE, robust peak",74035759,74035767,74035759,74035767
LH04797,TSS31264,CUFF.14611.2,-,chr14,-,Annotation,74036033,74036033,74036033,74036033
LH04798,TSS31265,CUFF.14619.1,-,chr14,-,Annotation,74049620,74049620,74049620,74049620
LH04799,TSS31269,CUFF.14622.2,RP3-414A15.10,chr14,-,Annotation,74101826,74101826,74101826,74101826
LH04800,TSS31273,ENST00000557304,RP4-693M11.3,chr14,-,Annotation,74167054,74167054,74167054,74167054
LH04801,TSS31277,P1P2,RP5-1021I20.2,chr14,-,"CAGE, primary peaks",74296806,74296828,74296786,74296796
LH04802,TSS31278,ENST00000554009,RP5-1021I20.5,chr14,-,Annotation,74389342,74389342,74389342,74389342
LH04803,TSS31284,ENST00000554532,AC005519.4,chr14,-,Annotation,74761128,74761128,74761128,74761128
LH04804,TSS31285,CUFF.14628.1,-,chr14,-,CAGE permissive peak,74816638,74816639,74816536,74816574
LH04805,TSS31287,CUFF.14628.3,-,chr14,-,Annotation,74817086,74817086,74817086,74817086
LH04806,TSS31288,ENST00000602790,RP3-449M8.9,chr14,-,Annotation,74939063,74939063,74939063,74939063
LH04807,TSS31290,P1P2,CTD-2207P18.2,chr14,-,"CAGE, primary peaks",75083313,75083360,75083294,75083305
LH04808,TSS31294,ENST00000554430,RP11-950C14.3,chr14,-,Annotation,75475184,75475184,75475184,75475184
LH04809,TSS31293,CUFF.14644.1,RP11-950C14.3,chr14,-,Annotation,75475828,75475828,75475828,75475828
LH04810,TSS31296,CUFF.14679.1,-,chr14,-,Annotation,75686953,75686953,75686953,75686953
LH04811,TSS31314,CUFF.14661.1,-,chr14,-,Annotation,76548700,76548700,76548700,76548700
LH04812,TSS31317,CUFF.14665.1,-,chr14,-,Annotation,76620923,76620923,76620923,76620923
LH04813,TSS31318,CUFF.14666.1,-,chr14,-,Annotation,76668127,76668127,76668127,76668127
LH04814,TSS31319,CUFF.14667.1,-,chr14,-,Annotation,76683615,76683615,76683615,76683615
LH04815,TSS31328,P1P2,RP11-488C13.6,chr14,-,"CAGE, primary peaks",77248056,77248105,77248056,77248105
LH04816,TSS31330,ENST00000554058,RP11-488C13.5,chr14,-,Annotation,77252497,77252497,77252497,77252497
LH04817,TSS31329,ENST00000556072,RP11-488C13.5,chr14,-,Annotation,77253067,77253067,77253067,77253067
LH04818,TSS31335,"CUFF.14711.5,CUFF.14711.2",-,chr14,-,Annotation,77415106,77415106,77415106,77415106
LH04819,TSS31338,CUFF.14693.1,RP11-7F17.7,chr14,-,Annotation,77435098,77435098,77435098,77435098
LH04820,TSS31339,CUFF.14694.1,-,chr14,-,Annotation,77437309,77437309,77437309,77437309
LH04821,TSS31337,CUFF.14692.3,RP11-7F17.7,chr14,-,CAGE permissive peak,77466946,77466977,77466876,77466897
LH04822,TSS31341,NLT_00002338,LINC-IRF2BPL-1,chr14,-,CAGE permissive peak,77504480,77504510,77504480,77504510
LH04823,TSS31352,CUFF.14687.1,-,chr14,-,Annotation,77861375,77861375,77861375,77861375
LH04824,TSS31382,CUFF.14799.6,RP11-242P2.1,chr14,-,Annotation,80316603,80316603,80316603,80316603
LH04825,TSS31397,P1P2,RP11-114N19.3,chr14,-,"CAGE, primary peaks",81636732,81636779,81636706,81636716
LH04826,TSS31467,CUFF.14798.8,-,chr14,-,Annotation,85798411,85798411,85798411,85798411
LH04827,TSS31483,CUFF.14946.11,CTD-2341M24.1,chr14,-,Annotation,86778969,86778969,86778969,86778969
LH04828,TSS31492,CUFF.14814.1,-,chr14,-,Annotation,87201386,87201386,87201386,87201386
