study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	experiment_title	study_title	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	sample_alias	sample_title
PRJNA34535	SAMN00004698	SRS006930	SRX027874	SRR067961	ILLUMINA	Illumina Genome Analyzer II	LL218	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K9me3 in hESC Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K9me3.hESC-02.01	renlab.30RKDAAXX_5	674517461	2633315af9b9471a34c49490b452db77	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067961/SRR067961.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067961/SRR067961.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067961/SRR067961.fastq.gz	hESC-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00004698	SRS006930	SRX027874	SRR067962	ILLUMINA	Illumina Genome Analyzer II	LL218	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K9me3 in hESC Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K9me3.hESC-02.01	renlab.313BFAAXX_5	320011960	881dee067f8930ae60e12723fce9e7cd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067962/SRR067962.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067962/SRR067962.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067962/SRR067962.fastq.gz	hESC-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00004698	SRS006930	SRX027874	SRR067963	ILLUMINA	Illumina Genome Analyzer II	LL218	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K9me3 in hESC Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K9me3.hESC-02.01	renlab.42B3BAAXX_5	438303491	e0ca914b3f7d58bd903d263ba40de2d6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067963/SRR067963.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067963/SRR067963.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067963/SRR067963.fastq.gz	hESC-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00115031	SRS116564	SRX027876	SRR067964	ILLUMINA	Illumina Genome Analyzer II	YL75	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K9me3 in hESC Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K9me3.hESC-03.01	renlab.42J8EAAXX_2	740211588	43fc2aedd8611d37bfc6b7039b94babe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067964/SRR067964.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067964/SRR067964.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067964/SRR067964.fastq.gz	H1-12	Generic sample from Homo sapiens
PRJNA34535	SAMN00115031	SRS116564	SRX027877	SRR067965	ILLUMINA	Illumina Genome Analyzer II	YL77	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K9me3 in hESC Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K9me3.hESC-04.01	renlab.42J8EAAXX_4	817241645	69abbadc532aaf483407f70e2d1ea226	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067965/SRR067965.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067965/SRR067965.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067965/SRR067965.fastq.gz	H1-12	Generic sample from Homo sapiens
PRJNA34535	SAMN00114949	SRS116482	SRX027878	SRR067966	ILLUMINA	Illumina Genome Analyzer II	YL253	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H4K20me1 in hESC Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H4K20me1.hESC-01.01	renlab.61MW4AAXX_1	1165823669	fce6c6e6056379bb91a6f8e6dba55d13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067966/SRR067966.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067966/SRR067966.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067966/SRR067966.fastq.gz	H1-03	Generic sample from Homo sapiens
PRJNA34535	SAMN00004698	SRS006930	SRX027879	SRR067967	ILLUMINA	Illumina Genome Analyzer II	LL323	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H4K5ac in hESC Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H4K5ac.hESC-01.01	renlab.30RNPAAXX_6	531162219	b318daeb68a7e73c23e834476a634ffb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067967/SRR067967.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067967/SRR067967.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067967/SRR067967.fastq.gz	hESC-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00004698	SRS006930	SRX027879	SRR067968	ILLUMINA	Illumina Genome Analyzer II	LL323	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H4K5ac in hESC Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H4K5ac.hESC-01.01	renlab.30WLVAAXX_2	569226053	b140fb54b6ceac87aca1c2414c1eabdc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067968/SRR067968.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067968/SRR067968.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067968/SRR067968.fastq.gz	hESC-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00114949	SRS116482	SRX027881	SRR067969	ILLUMINA	Illumina Genome Analyzer II	YL254	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H4K91ac in hESC Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H4K91ac.hESC-01.01	renlab.61MW4AAXX_2	1012321055	3d1974a2a4bb39810bfd3838c3f3895a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067969/SRR067969.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067969/SRR067969.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067969/SRR067969.fastq.gz	H1-03	Generic sample from Homo sapiens
PRJNA34535	SAMN00004698	SRS006930	SRX027882	SRR067970	ILLUMINA	Illumina Genome Analyzer II	LL-H1-I1	SINGLE	ChIP-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Input from hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.Input.hESC-01.01	renlab.30RKDAAXX_7	284281452	b021d443dc1531c4a84302b6ec7f07bc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067970/SRR067970.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067970/SRR067970.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067970/SRR067970.fastq.gz	hESC-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00004459	SRS004118	SRX027883	SRR067971	ILLUMINA	Illumina Genome Analyzer II	LL-H1-I2	SINGLE	ChIP-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Input from hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.Input.hESC-02.01	renlab.30WGFAAXX_6	391235292	b763ad83542cbac87ca2580ef629ccf0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067971/SRR067971.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067971/SRR067971.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067971/SRR067971.fastq.gz	CDI-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00004459	SRS004118	SRX027883	SRR067972	ILLUMINA	Illumina Genome Analyzer II	LL-H1-I2	SINGLE	ChIP-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Input from hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.Input.hESC-02.01	renlab.301PNAAXX_1	357851440	83d37073576bb9cdb1c5081637409e12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067972/SRR067972.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067972/SRR067972.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067972/SRR067972.fastq.gz	CDI-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00114948	SRS116481	SRX027884	SRR067973	ILLUMINA	Illumina Genome Analyzer II	YL208	SINGLE	ChIP-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Input from hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.Input.hESC-03.01	renlab.6141PAAXX_4	930578259	03f4d79627d6cf0a7963a0547adc6de4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067973/SRR067973.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067973/SRR067973.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067973/SRR067973.fastq.gz	H1-02	Generic sample from Homo sapiens
PRJNA34535	SAMN00114949	SRS116482	SRX027885	SRR067974	ILLUMINA	Illumina Genome Analyzer II	YL262	SINGLE	ChIP-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Input from hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.Input.hESC-04.01	renlab.61MW4AAXX_4	1353676408	534850ad6c117abdddf52fc057ec9832	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067974/SRR067974.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067974/SRR067974.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067974/SRR067974.fastq.gz	H1-03	Generic sample from Homo sapiens
PRJNA34535	SAMN00115027	SRS116560	SRX027886	SRR067975	ILLUMINA	Illumina Genome Analyzer II	YL154	SINGLE	ChIP-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Input from hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.Input.hESC-05.01	renlab.62H1EAAXX_1	493633475	94bf4178bf15e65ae2dd7c5aadd2464e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067975/SRR067975.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067975/SRR067975.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067975/SRR067975.fastq.gz	H1-04	Generic sample from Homo sapiens
PRJNA34535	SAMN00115029	SRS116562	SRX027887	SRR067976	ILLUMINA	Illumina Genome Analyzer II	DM219	SINGLE	ChIP-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Input from hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.Input.hESC-06.01	renlab.61EH5AAXX_1	773481089	087c664c0c3fed31619b42347bbfdf1b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067976/SRR067976.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067976/SRR067976.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067976/SRR067976.fastq.gz	H1-06	Generic sample from Homo sapiens
PRJNA34535	SAMN00114950	SRS116483	SRX027888	SRR067977	ILLUMINA	Illumina Genome Analyzer II	LLH1U	SINGLE	ChIP-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Input from hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.Input.hESC-07.01	renlab.30WGFAAXX_5	461987560	0f623c04690f5bcdfb8dd23cb1108a0e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067977/SRR067977.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067977/SRR067977.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067977/SRR067977.fastq.gz	H1-13	Generic sample from Homo sapiens
PRJNA34535	SAMN00114948	SRS116481	SRX027889	SRR067978	ILLUMINA	Illumina Genome Analyzer II	SAK201	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H2AK5ac in hESC Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H2AK5ac.hESC-02.01	renlab.61MWBAAXX_1	1246997140	f124d4241137e8f1bcb0ea5e220683d3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067978/SRR067978.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR067/SRR067978/SRR067978.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR067/SRR067978/SRR067978.fastq.gz	H1-02	Generic sample from Homo sapiens
PRJNA34535	SAMN00115032	SRS116565	SRX040594	SRR097962	ILLUMINA	Illumina Genome Analyzer II	SK193	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H2AK5ac in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H2AK5ac.hESC.H9.01.01	renlab.61MV8AAXX_3	998347122	67fdae38b683abba39fdddf16fd1fd3f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097962/SRR097962.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097962/SRR097962.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097962/SRR097962.fastq.gz	H9-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00205532	SRS167140	SRX040595	SRR097963	ILLUMINA	Illumina Genome Analyzer IIx	AK112	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer IIx sequencing; Reference Epigenome: ChIP-Seq Analysis of H2BK12ac in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H2BK12ac.hESC.H9.02.01	renlab.630EEAAXX_3	1619537723	6da4a70f83fd712f0390c6e3c27df748	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097963/SRR097963.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097963/SRR097963.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097963/SRR097963.fastq.gz	H9-03	Generic sample from Homo sapiens
PRJNA34535	SAMN00115032	SRS116565	SRX040596	SRR097964	ILLUMINA	Illumina Genome Analyzer II	YL244	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H2BK5ac in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H2BK5ac.hESC.H9.01.01	renlab.61MU8AAXX_3	974145187	038aa7f1bf5bd47449283caa6a2a0597	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097964/SRR097964.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097964/SRR097964.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097964/SRR097964.fastq.gz	H9-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00115032	SRS116565	SRX040597	SRR097965	ILLUMINA	Illumina Genome Analyzer II	YL236	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K23ac in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K23ac.hESC.H9.01.01	renlab.61MTAAXX_1	817103565	444db164ddaf9518b592fdcc41e42ee6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097965/SRR097965.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097965/SRR097965.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097965/SRR097965.fastq.gz	H9-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00115032	SRS116565	SRX040598	SRR097966	ILLUMINA	Illumina Genome Analyzer II	SK99	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K27me3 in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K27me3.hESC.H9.01.01	renlab.4367UAAXX_3	780171418	ee7eee8f7e38f57cb4f4a5cfa335558f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097966/SRR097966.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097966/SRR097966.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097966/SRR097966.fastq.gz	H9-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00115032	SRS116565	SRX040599	SRR097967	ILLUMINA	Illumina Genome Analyzer II	YL123	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K4me1 in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K4me1.hESC.H9.01.01	renlab.431VPAAXX_3	816763596	0393961d9f53ae319a303868d193bb6a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097967/SRR097967.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097967/SRR097967.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097967/SRR097967.fastq.gz	H9-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00115032	SRS116565	SRX040600	SRR097968	ILLUMINA	Illumina Genome Analyzer II	YL238	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K56ac in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K56ac.hESC.H9.01.01	renlab.61MTAAXX_3	884424836	a82e8ec8e52d24d75278a6889a62e82c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097968/SRR097968.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097968/SRR097968.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097968/SRR097968.fastq.gz	H9-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00115032	SRS116565	SRX040601	SRR097969	ILLUMINA	Illumina Genome Analyzer II	SK190	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K79me2 in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K79me2.hESC.H9.01.01	renlab.61MV8AAXX_1	914511480	07cf2d61391db5cf2c622f23fe97027d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097969/SRR097969.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097969/SRR097969.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097969/SRR097969.fastq.gz	H9-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00115032	SRS116565	SRX040602	SRR097970	ILLUMINA	Illumina Genome Analyzer II	SK100	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K9me3 in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K9me3.hESC.H9.01.01	renlab.4367UAAXX_4	748634895	581dbb98b1e42c71f8fe6f2d37cb63b1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097970/SRR097970.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097970/SRR097970.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097970/SRR097970.fastq.gz	H9-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00115032	SRS116565	SRX040603	SRR097971	ILLUMINA	Illumina Genome Analyzer II	SK200	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H3K9me3 in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H3K9me3.hESC.H9.02.01	renlab.61MU8AAXX_1	988734777	fd66b846a61d19a7ce5c10fa7e109263	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097971/SRR097971.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097971/SRR097971.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097971/SRR097971.fastq.gz	H9-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00115032	SRS116565	SRX040604	SRR097972	ILLUMINA	Illumina Genome Analyzer II	YL240	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H4K5ac in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H4K5ac.hESC.H9.01.01	renlab.61MTAAXX_5	801250098	7ebf553daa14831ab00ff0c4b6fe51b6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097972/SRR097972.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097972/SRR097972.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097972/SRR097972.fastq.gz	H9-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00115032	SRS116565	SRX040605	SRR097973	ILLUMINA	Illumina Genome Analyzer II	YL241	SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina Genome Analyzer II sequencing; Reference Epigenome: ChIP-Seq Analysis of H4K8ac in hESC H9 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.H4K8ac.hESC.H9.01.01	renlab.61MTAAXX_6	771014952	2296c259b3a7b3faf7f47192d737cdf5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097973/SRR097973.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097973/SRR097973.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097973/SRR097973.fastq.gz	H9-01	Generic sample from Homo sapiens
PRJNA34535	SAMN00205531	SRS167139	SRX040606	SRR097974	ILLUMINA	Illumina Genome Analyzer IIx	YL328	SINGLE	ChIP-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer IIx sequencing; Reference Epigenome: ChIP-Seq Input from hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.Input.hESC.H1.08.01	renlab.628RHAAXX_2F	148513011	8cf5ee210cd88c2eba7c3b8b65d92b01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097974/SRR097974.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097974/SRR097974.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097974/SRR097974.fastq.gz	H1-11	Generic sample from Homo sapiens
PRJNA34535	SAMN00205531	SRS167139	SRX040606	SRR097975	ILLUMINA	Illumina Genome Analyzer IIx	YL328	SINGLE	ChIP-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer IIx sequencing; Reference Epigenome: ChIP-Seq Input from hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.Input.hESC.H1.08.01	renlab.62F8AAAXX_4F	147852375	22cee52dfadbde26825e672f41c4850b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097975/SRR097975.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097975/SRR097975.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097975/SRR097975.fastq.gz	H1-11	Generic sample from Homo sapiens
PRJNA34535	SAMN00205531	SRS167139	SRX040606	SRR097976	ILLUMINA	Illumina Genome Analyzer IIx	YL328	SINGLE	ChIP-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer IIx sequencing; Reference Epigenome: ChIP-Seq Input from hESC H1 Cells	UCSD Human Reference Epigenome Mapping Project	renlab.Input.hESC.H1.08.01	renlab.62F8AAAXX_5F	143444525	1ba80a16effc9d7c007be75fa88663b2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097976/SRR097976.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR097/SRR097976/SRR097976.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR097/SRR097976/SRR097976.fastq.gz	H1-11	Generic sample from Homo sapiens
PRJNA34535	SAMN00215949	SRS172880	SRX043404	SRR101296	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1-npc_r1a	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line differentiated into neural progenitor cells	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1-npc_r1a	methylC-seq_1085_h1-npc_r1a_1	1840747235	4994845fd035106f5ac03c3b69f7ad2d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/SRR101296/SRR101296.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR101/SRR101296/SRR101296.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/SRR101296/SRR101296.fastq.gz	H1-NPC_r1	Generic sample from Homo sapiens
PRJNA34535	SAMN00215949	SRS172880	SRX043405	SRR101297	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1-npc_r1b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line differentiated into neural progenitor cells	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1-npc_r1b	methylC-seq_1085_h1-npc_r1b_1	1757851797	39134693ba24a8fbe405edb3773fa10e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/SRR101297/SRR101297.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR101/SRR101297/SRR101297.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/SRR101297/SRR101297.fastq.gz	H1-NPC_r1	Generic sample from Homo sapiens
