File accession	File format	Software used	Encyclopedia Version	Biosample term id	Biosample type	Tissue	Type	Age	Age	Age Units	Organism	Date	Project	md5sum	Assembly	File Status	Derived from	S3 URL	Size
ENCFF926GLH	bed bed3+	candidate Cis-Regulatory Elements	ENCSR488LYT	candidate Cis-Regulatory Elements	ENCODE v4	germinal matrix	tissue	embryonic	20	week	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	9af62d73a2434861ed46ce7f9ce2b852	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/c07178dc-38c0-4033-848c-4f81061b37d0/ENCFF926GLH.bed.gz	17916394
ENCFF248HRV	bed bed3+	candidate Cis-Regulatory Elements	ENCSR454MQG	candidate Cis-Regulatory Elements	ENCODE v4	CD4-positive helper T cell	primary cell	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	b78049ebfa6ca46565cbb81095653307	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/24/bb4b12cd-0b98-41a5-aad2-077a6041f003/ENCFF248HRV.bed.gz	17936980
ENCFF141FZV	bed bed3+	candidate Cis-Regulatory Elements	ENCSR925KWA	candidate Cis-Regulatory Elements	ENCODE v4	HeLa-S3	cell line	adult	31	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	57096ab3798a40ddd342b28103ea5d11	hg19	released	ENCFF939SVL	https://encode-public.s3.amazonaws.com/2017/07/10/73201ce2-b07b-4ade-92af-1b61ee463701/ENCFF141FZV.bed.gz	17919800
ENCFF898NSK	bed bed3+	candidate Cis-Regulatory Elements	ENCSR456XXD	candidate Cis-Regulatory Elements	ENCODE v4	skeletal muscle satellite cell	primary cell	adult			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	09736c3fee5afead0ff8ae8209024e53	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/24/172f584f-81bd-437e-8b1b-fed1d42d43bb/ENCFF898NSK.bed.gz	17929614
ENCFF593RIX	bed bed3+	candidate Cis-Regulatory Elements	ENCSR581ZOW	candidate Cis-Regulatory Elements	ENCODE v4	GM12872	cell line	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	4545bd9c1624b3fcdb7d3c11ff431d81	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/4fb5a805-8647-45e7-b23a-d6cfb18d4a68/ENCFF593RIX.bed.gz	17955560
ENCFF344FQS	bed bed3+	candidate Cis-Regulatory Elements	ENCSR312JHN	candidate Cis-Regulatory Elements	ENCODE v4	"common myeloid progenitor, CD34-positive"	primary cell	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	07fb0bca23762adb71cfc65b273b1e2d	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/24/9266f745-5b55-4a82-b3a1-976f0c00c67f/ENCFF344FQS.bed.gz	17916460
ENCFF185ESY	bed bed3+	candidate Cis-Regulatory Elements	ENCSR261LIF	candidate Cis-Regulatory Elements	ENCODE v4	thyroid gland	tissue	adult	54	year	Homo sapiens	8/31/17	"Zhiping Weng, UMass"	7add2ae229c25d684f6632b9edb3849c	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/aab53449-b4cf-46f4-82d8-b8fba40ff5d5/ENCFF185ESY.bed.gz	17983077
ENCFF438LUB	bed bed3+	candidate Cis-Regulatory Elements	ENCSR858HXQ	candidate Cis-Regulatory Elements	ENCODE v4	thymus	tissue	embryonic	113	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	301bb9850194168b65bde62f8f3dab40	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/d710d59f-1a4e-4bd7-9190-ec7442412abd/ENCFF438LUB.bed.gz	17955591
ENCFF132SVE	bed bed3+	candidate Cis-Regulatory Elements	ENCSR913RGK	candidate Cis-Regulatory Elements	ENCODE v4	right kidney	tissue	embryonic	147	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	34b8932e8715d5226966c55bafa2f0a0	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/d2de6258-57f4-4377-8b0d-0ff733a0ca03/ENCFF132SVE.bed.gz	17994696
ENCFF021LEU	bed bed3+	candidate Cis-Regulatory Elements	ENCSR470IXJ	candidate Cis-Regulatory Elements	ENCODE v4	brain	tissue	embryonic	104	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	a54441a61ed55c8d84fbd0e45eed4813	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/32351739-0e06-41b3-8901-cdfb62105c1c/ENCFF021LEU.bed.gz	18009435
ENCFF191HBW	bed bed3+	candidate Cis-Regulatory Elements	ENCSR288VQM	candidate Cis-Regulatory Elements	ENCODE v4	choroid plexus epithelial cell	primary cell	unknown			Homo sapiens	8/29/17	"Zhiping Weng, UMass"	d15e93a249c02d4a194598310cf851e5	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/efcfe0b8-7f18-4960-a81f-cd65cfa266dc/ENCFF191HBW.bed.gz	17901535
ENCFF915GAB	bed bed3+	candidate Cis-Regulatory Elements	ENCSR401NIE	candidate Cis-Regulatory Elements	ENCODE v4	mesodermal cell	in vitro differentiated cells	embryonic			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	8f75b9c36d2701e178f102749cbd2e13	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/0c8b792c-a39c-4d47-8887-96293179d1cc/ENCFF915GAB.bed.gz	17975923
ENCFF160MAH	bed bed3+	candidate Cis-Regulatory Elements	ENCSR792SXK	candidate Cis-Regulatory Elements	ENCODE v4	foreskin fibroblast	primary cell	postnatal			Homo sapiens	8/29/17	"Zhiping Weng, UMass"	bd04ce872224cfcbe59b7379e41195e8	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/91fe7747-a233-4864-9995-013dcd69d6d6/ENCFF160MAH.bed.gz	17900854
ENCFF931DGF	bed bed3+	candidate Cis-Regulatory Elements	ENCSR156NLS	candidate Cis-Regulatory Elements	ENCODE v4	MCF-7	cell line	adult	69	year	Homo sapiens	8/31/17	"Zhiping Weng, UMass"	ca98e7764b0ac861dcc5124f1675f6f3	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/b87aa26b-216c-4514-8fdc-fb2c58fda566/ENCFF931DGF.bed.gz	18032321
ENCFF727TZS	bed bed3+	candidate Cis-Regulatory Elements	ENCSR258XGS	candidate Cis-Regulatory Elements	ENCODE v4	spinal cord	tissue	embryonic	87	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	c03d4a2fa8e649b83ef67395ddb3ebf5	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/7d29352e-429c-453d-8ccd-1fdb14d3cfec/ENCFF727TZS.bed.gz	17984013
ENCFF822WMN	bed bed3+	candidate Cis-Regulatory Elements	ENCSR740VWY	candidate Cis-Regulatory Elements	ENCODE v4	MM.1S	cell line	adult	42	year	Homo sapiens	8/30/17	"Zhiping Weng, UMass"	d323131f47b9eb9b3e94b03202afe0b5	hg19	released	ENCFF621SFC	https://encode-public.s3.amazonaws.com/2017/07/10/903f3bd4-4edb-4695-89e0-f845442e8d34/ENCFF822WMN.bed.gz	17904797
ENCFF516TLE	bed bed3+	candidate Cis-Regulatory Elements	ENCSR603NYE	candidate Cis-Regulatory Elements	ENCODE v4	fibroblast of skin of abdomen	primary cell	adult	22	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	58254d7a38d3b83bd0b83dd35571117b	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/07/10/ac6765d5-2b3d-41ca-8d2d-b248ed7235fc/ENCFF516TLE.bed.gz	17909152
ENCFF305RFQ	bed bed3+	candidate Cis-Regulatory Elements	ENCSR943CPY	candidate Cis-Regulatory Elements	ENCODE v4	HEK293	cell line	embryonic			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	e38aec21415d6f89cc9cb7d36922f5af	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/0317d93e-45cf-4903-a752-1e64b708939e/ENCFF305RFQ.bed.gz	17979487
ENCFF025UNX	bed bed3+	candidate Cis-Regulatory Elements	ENCSR907ZWZ	candidate Cis-Regulatory Elements	ENCODE v4	left kidney	tissue	embryonic	96	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	8a2a6d464786139fb09a9a2de1c9537f	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/9d8a245d-806a-4d00-aa29-034898255043/ENCFF025UNX.bed.gz	17981617
ENCFF653SQA	bed bed3+	candidate Cis-Regulatory Elements	ENCSR382PWV	candidate Cis-Regulatory Elements	ENCODE v4	kidney	tissue	embryonic	120	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	2848723e6c451ef317650a328c20d30f	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/d9023128-b48d-4ec6-964f-d5f7bac54ba0/ENCFF653SQA.bed.gz	17874469
ENCFF301PSM	bed bed3+	candidate Cis-Regulatory Elements	ENCSR791YJJ	candidate Cis-Regulatory Elements	ENCODE v4	GM23248	cell line	adult	53	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	2e2b8e4d1a9052d67a12644d1766d312	hg19	released	ENCFF621SFC	https://encode-public.s3.amazonaws.com/2017/07/10/52075fd1-ce4e-4576-b5bb-e80d376dae8f/ENCFF301PSM.bed.gz	17943556
ENCFF266IEM	bed bed3+	candidate Cis-Regulatory Elements	ENCSR628MAZ	candidate Cis-Regulatory Elements	ENCODE v4	astrocyte of the spinal cord	primary cell	unknown			Homo sapiens	8/29/17	"Zhiping Weng, UMass"	984f607405c3a9cc8dd25e309a28a009	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/5cd64b77-8c82-498b-aca1-bdc4ffda595d/ENCFF266IEM.bed.gz	17891535
ENCFF818CEL	bed bed3+	candidate Cis-Regulatory Elements	ENCSR516TCY	candidate Cis-Regulatory Elements	ENCODE v4	osteoblast	primary cell	unknown			Homo sapiens	8/29/17	"Zhiping Weng, UMass"	46e90e8cd31a186743bc038036a800b6	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/516426dd-22b8-4255-95c4-85bb87373b77/ENCFF818CEL.bed.gz	17922720
ENCFF449UUG	bed bed3+	candidate Cis-Regulatory Elements	ENCSR130ZZP	candidate Cis-Regulatory Elements	ENCODE v4	small intestine	tissue	embryonic	87	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	28146114409d8a08cbd2195d57f2a906	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/9f868cbe-fa30-4011-9a1d-ee5e42f80bd4/ENCFF449UUG.bed.gz	17994704
ENCFF973FFL	bed bed3+	candidate Cis-Regulatory Elements	ENCSR376PTX	candidate Cis-Regulatory Elements	ENCODE v4	LoVo	cell line	adult	56	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	b44f906daa9a644568ab2fba099424a5	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/55f9aa9b-eae3-4de7-bfe1-eb2b6a90902e/ENCFF973FFL.bed.gz	17974047
ENCFF188USG	bed bed3+	candidate Cis-Regulatory Elements	ENCSR613JNW	candidate Cis-Regulatory Elements	ENCODE v4	right lung	tissue	embryonic	108	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	e88674c8b651f1d476677df876d5c364	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/08a4d7b5-9508-4589-a671-150a77a003b9/ENCFF188USG.bed.gz	18023008
ENCFF073ZXE	bed bed3+	candidate Cis-Regulatory Elements	ENCSR690IQQ	candidate Cis-Regulatory Elements	ENCODE v4	cardiac muscle cell	primary cell	unknown			Homo sapiens	8/29/17	"Zhiping Weng, UMass"	10c8269c581429a2e6d87b8b8a32c841	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/513a272b-9938-4c41-a502-36166cdcb73c/ENCFF073ZXE.bed.gz	17887975
ENCFF664XXD	bed bed3+	candidate Cis-Regulatory Elements	ENCSR711YIX	candidate Cis-Regulatory Elements	ENCODE v4	skin fibroblast	primary cell	young adult	10	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	26bc662b1d7b1c126162b1ba867becd8	hg19	released	ENCFF939SVL	https://encode-public.s3.amazonaws.com/2017/08/21/97639b7b-7a43-4d4b-a220-f26e624290d7/ENCFF664XXD.bed.gz	17935373
ENCFF294HND	bed bed3+	candidate Cis-Regulatory Elements	ENCSR899NVJ	candidate Cis-Regulatory Elements	ENCODE v4	fibroblast of lung	primary cell	unknown	45	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	dc7e01bad060feb26610d5ada28907d6	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/65315aba-3726-4da0-94c0-91f262c3a591/ENCFF294HND.bed.gz	17908143
ENCFF834SHT	bed bed3+	candidate Cis-Regulatory Elements	ENCSR591AOG	candidate Cis-Regulatory Elements	ENCODE v4	SK-N-SH	cell line	young adult	4	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	4aa5c29a59fb4207a0e57b0e1cc9d9b8	hg19	released	ENCFF939SVL	https://encode-public.s3.amazonaws.com/2017/08/21/b1e62208-64d1-4e42-98c3-fc9b1d65ef27/ENCFF834SHT.bed.gz	17948320
ENCFF774XZY	bed bed3+	candidate Cis-Regulatory Elements	ENCSR074EQJ	candidate Cis-Regulatory Elements	ENCODE v4	epithelial cell of proximal tubule	primary cell	unknown			Homo sapiens	8/31/17	"Zhiping Weng, UMass"	8f1c93499bfdbccc3f389b6a7bd2abc0	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/5315b067-1016-457c-94e6-f589542560d3/ENCFF774XZY.bed.gz	18011134
ENCFF661EQG	bed bed3+	candidate Cis-Regulatory Elements	ENCSR495YKS	candidate Cis-Regulatory Elements	ENCODE v4	HUES48	cell line	embryonic			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	d58623a205b3f10d27f91f1c8a49ead1	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/8ce047d5-1043-49a4-8b72-713f82d529b9/ENCFF661EQG.bed.gz	18004394
ENCFF806JNQ	bed bed3+	candidate Cis-Regulatory Elements	ENCSR977LZG	candidate Cis-Regulatory Elements	ENCODE v4	muscle of back	tissue	embryonic	101	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	ead9aaaaf3dcfd35c7d7f0d5f067e93e	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/72852459-faa7-4c03-a94e-d5926fada8d0/ENCFF806JNQ.bed.gz	17997098
ENCFF969NLI	bed bed3+	candidate Cis-Regulatory Elements	ENCSR286SVM	candidate Cis-Regulatory Elements	ENCODE v4	GM19238	cell line	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	a24335b9de8e2dd7ef7a6a78025157c0	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/4573d522-99e8-4729-a796-74673c2b4af8/ENCFF969NLI.bed.gz	17941241
ENCFF681EOT	bed bed3+	candidate Cis-Regulatory Elements	ENCSR646FWL	candidate Cis-Regulatory Elements	ENCODE v4	adrenal gland	tissue	embryonic	113	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	ef204448eeef2cc52bbafc4393b79118	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/9f59612d-1945-4f33-884d-e27e469e8d33/ENCFF681EOT.bed.gz	18016481
ENCFF621PIU	bed bed3+	candidate Cis-Regulatory Elements	ENCSR485EOK	candidate Cis-Regulatory Elements	ENCODE v4	natural killer cell	primary cell	adult	37	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	6f4f8431670a6b398796c1dea623755b	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/07/10/45b37189-9f44-4933-add0-91f92c9501ab/ENCFF621PIU.bed.gz	17892069
ENCFF554BDD	bed bed3+	candidate Cis-Regulatory Elements	ENCSR564TDO	candidate Cis-Regulatory Elements	ENCODE v4	heart	tissue	embryonic	96	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	9750fd5ec4f0b283239a4883947766b4	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/dbdd98b9-1d0d-4f1b-8e2e-9143ed00ed45/ENCFF554BDD.bed.gz	17957392
ENCFF388OUE	bed bed3+	candidate Cis-Regulatory Elements	ENCSR011FLD	candidate Cis-Regulatory Elements	ENCODE v4	neural progenitor cell	in vitro differentiated cells	embryonic	5	day	Homo sapiens	8/30/17	"Zhiping Weng, UMass"	045bc90c691c0cfce766bf6503eede56	hg19	released	ENCFF621SFC	https://encode-public.s3.amazonaws.com/2017/07/10/cf9f3d99-8520-47b3-9e85-3c52dba10d3f/ENCFF388OUE.bed.gz	17918021
ENCFF605LOV	bed bed3+	candidate Cis-Regulatory Elements	ENCSR683ZCM	candidate Cis-Regulatory Elements	ENCODE v4	KOPT-K1	cell line	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	7c922e951854a68c56d621bea5e21690	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/afb930e4-af4e-45af-99be-61f06f227bfb/ENCFF605LOV.bed.gz	17910358
ENCFF779DXI	bed bed3+	candidate Cis-Regulatory Elements	ENCSR995VRV	candidate Cis-Regulatory Elements	ENCODE v4	hindlimb muscle	tissue	embryonic	120	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	38a5cc374cf3975a2b5340be97903167	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/4ddee047-c6e6-4713-b9cb-44fd49350f22/ENCFF779DXI.bed.gz	18004593
ENCFF982VCJ	bed bed3+	candidate Cis-Regulatory Elements	ENCSR995QNC	candidate Cis-Regulatory Elements	ENCODE v4	small intestine	tissue	embryonic	110	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	bcd7f15f326724ac183f005454bb4610	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/25254b65-cb89-4f29-9f49-980f0ec1f1c4/ENCFF982VCJ.bed.gz	17997353
ENCFF222ZKH	bed bed3+	candidate Cis-Regulatory Elements	ENCSR893GQQ	candidate Cis-Regulatory Elements	ENCODE v4	MCF-7	cell line	adult	69	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	de8910806c008e3f4077861f9ae2630f	hg19	released	ENCFF939SVL	https://encode-public.s3.amazonaws.com/2017/07/10/b6c23588-225d-4cda-b702-acf41c934b8b/ENCFF222ZKH.bed.gz	18023500
ENCFF516VPL	bed bed3+	candidate Cis-Regulatory Elements	ENCSR277KVD	candidate Cis-Regulatory Elements	ENCODE v4	tongue	tissue	embryonic	72	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	2d51c3e7d44a8c0d71e95aa3c4f60fae	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/5d017511-c64f-4cb9-86a3-310dd05fedcf/ENCFF516VPL.bed.gz	18033357
ENCFF099ONL	bed bed3+	candidate Cis-Regulatory Elements	ENCSR984DOE	candidate Cis-Regulatory Elements	ENCODE v4	adrenal gland	tissue	embryonic	97	day	Homo sapiens	8/30/17	"Zhiping Weng, UMass"	804816b3b632275ee5315d024654156f	hg19	released	ENCFF621SFC	https://encode-public.s3.amazonaws.com/2017/08/21/84bd4b56-64b4-4804-b672-b64438ec9a94/ENCFF099ONL.bed.gz	17948816
ENCFF274LDT	bed bed3+	candidate Cis-Regulatory Elements	ENCSR547AIE	candidate Cis-Regulatory Elements	ENCODE v4	iPS DF 6.9	cell line	postnatal			Homo sapiens	8/29/17	"Zhiping Weng, UMass"	18a34b2bc771b7c0256a0fb45af5b8c5	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/40bffb64-2dc6-452c-b405-f7cc17e11834/ENCFF274LDT.bed.gz	17889639
ENCFF518HVH	bed bed3+	candidate Cis-Regulatory Elements	ENCSR336TAK	candidate Cis-Regulatory Elements	ENCODE v4	T-cell	primary cell	adult	37	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	035ac50174bf1cd0bd84eb5657cf9a02	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/86de291d-55d7-4395-94e2-5309597f32b4/ENCFF518HVH.bed.gz	17973093
ENCFF806YXI	bed bed3+	candidate Cis-Regulatory Elements	ENCSR541ZJR	candidate Cis-Regulatory Elements	ENCODE v4	small intestine	tissue	embryonic	91	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	e6c48622aeab85b3bb9964db33ab84b8	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/1165d2ae-2fc5-4d29-aaf6-eb7a62d73520/ENCFF806YXI.bed.gz	17987701
ENCFF157ZMD	bed bed3+	candidate Cis-Regulatory Elements	ENCSR279FLP	candidate Cis-Regulatory Elements	ENCODE v4	Karpas-422	cell line	adult	72	year	Homo sapiens	8/30/17	"Zhiping Weng, UMass"	184ffcbd5e6fa159d1dba99bf2d71354	hg19	released	ENCFF621SFC	https://encode-public.s3.amazonaws.com/2017/07/10/340d22dd-cd92-4230-bbcc-d0b8bce01adb/ENCFF157ZMD.bed.gz	17890783
ENCFF528FKO	bed bed3+	candidate Cis-Regulatory Elements	ENCSR648RYX	candidate Cis-Regulatory Elements	ENCODE v4	EH	cell line	postnatal			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	42c17580eedcbdb36eee76215bb95aed	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/8581e57a-7475-4890-bfee-511deb9af3ea/ENCFF528FKO.bed.gz	18074716
ENCFF773YHG	bed bed3+	candidate Cis-Regulatory Elements	ENCSR567ENH	candidate Cis-Regulatory Elements	ENCODE v4	muscle of arm	tissue	embryonic	120	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	0f9e23cdece3eeba9f0d3fb8de184062	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/aab37667-6dc1-484d-81d7-f72fb4413d78/ENCFF773YHG.bed.gz	17995959
ENCFF416CLU	bed bed3+	candidate Cis-Regulatory Elements	ENCSR461IXS	candidate Cis-Regulatory Elements	ENCODE v4	Ishikawa	cell line	adult	39	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	0b6014ea532244ca0ccac21a177dc7ed	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/3054b463-7e97-45d4-9f28-c811eb68d7f9/ENCFF416CLU.bed.gz	17933461
ENCFF511KTC	bed bed3+	candidate Cis-Regulatory Elements	ENCSR903DRB	candidate Cis-Regulatory Elements	ENCODE v4	myotube	in vitro differentiated cells	adult	22	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	ecf8f75d7e6800a79baaecbaf91f3e59	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/07/10/df09bfd5-4315-4052-b001-9c5e7f0afefd/ENCFF511KTC.bed.gz	17912484
ENCFF968OWO	bed bed3+	candidate Cis-Regulatory Elements	ENCSR502WCH	candidate Cis-Regulatory Elements	ENCODE v4	iPS DF 6.9	cell line	postnatal			Homo sapiens	8/31/17	"Zhiping Weng, UMass"	5b4de98969578102341aae5ed777cc97	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/468aa979-99f8-4454-822a-2e6eae1c2429/ENCFF968OWO.bed.gz	17998656
ENCFF858OXZ	bed bed3+	candidate Cis-Regulatory Elements	ENCSR343FAZ	candidate Cis-Regulatory Elements	ENCODE v4	SJSA1	cell line	adult	19	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	3f1daabb161c26bfa2856fd8f4a01c69	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/b573d7d6-7ddd-4966-97b4-f327346d5325/ENCFF858OXZ.bed.gz	17968796
ENCFF100HUR	bed bed3+	candidate Cis-Regulatory Elements	ENCSR257UOK	candidate Cis-Regulatory Elements	ENCODE v4	GM19239	cell line	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	fbc6e6c3a1ead360e22aaa4b65037ed6	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/f454de3b-031b-42a6-b513-92ca96205d58/ENCFF100HUR.bed.gz	17933644
ENCFF493ZPV	bed bed3+	candidate Cis-Regulatory Elements	ENCSR575FWN	candidate Cis-Regulatory Elements	ENCODE v4	subcutaneous abdominal adipose tissue	tissue	adult	49	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	a097d3e34789edf71cc19aafbf4db035	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/94a8efd6-b68f-4462-9418-fdf80fe84ac2/ENCFF493ZPV.bed.gz	17990503
ENCFF993FOG	bed bed3+	candidate Cis-Regulatory Elements	ENCSR021PCC	candidate Cis-Regulatory Elements	ENCODE v4	brain	tissue	embryonic	122	day	Homo sapiens	8/31/17	"Zhiping Weng, UMass"	ef98689921c1cdb20b7f0637ec25d41b	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/d15f9be2-3e44-4700-89fc-af6781a44710/ENCFF993FOG.bed.gz	18045262
ENCFF602OWO	bed bed3+	candidate Cis-Regulatory Elements	ENCSR929IMT	candidate Cis-Regulatory Elements	ENCODE v4	muscle of leg	tissue	embryonic	105	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	9fa942e3eaee319aa242cc3204d2d184	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/d6844416-5d5b-4d2b-a5c7-0f529eb079e4/ENCFF602OWO.bed.gz	17984573
ENCFF826WFI	bed bed3+	candidate Cis-Regulatory Elements	ENCSR644OJJ	candidate Cis-Regulatory Elements	ENCODE v4	WI38	cell line	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	3b49ca638033ca851d48711d89dbf2e2	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/6cd79f42-843f-4cbe-9bf3-153ceb748f16/ENCFF826WFI.bed.gz	18007933
ENCFF248MPL	bed bed3+	candidate Cis-Regulatory Elements	ENCSR262OHT	candidate Cis-Regulatory Elements	ENCODE v4	"CD8-positive, alpha-beta memory T cell"	primary cell	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	c44a24213418ee735df26779dfb1f40d	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/342af182-3d81-4162-b1c9-d70f226af2df/ENCFF248MPL.bed.gz	17953557
ENCFF326GLI	bed bed3+	candidate Cis-Regulatory Elements	ENCSR403BVM	candidate Cis-Regulatory Elements	ENCODE v4	substantia nigra	tissue	adult	81	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	946b01aa7f62a3a014a9f360d2975a1f	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/25/a872275e-656c-4276-8076-3a0bf7bd9f7e/ENCFF326GLI.bed.gz	17921693
